INAME	GENE	CHR	SIMR_UP2_190FR	SIMR_UP2_244
YBL033C				0.54
YGL181W	GTS1	7	2.01	0.47
YFR039C		6	1.09	0.93
YBR116C		2	1.73	0.33
YLL062C		12	1.82	0.6
iOx476I		0	0.49	1.82
iIx036I		0	1.28	0.62
iEx113I		0	1.25	0.56
YPR068C	HOS1	16	0.69	1.46
YGL247W		7	0.88	0.99
iOx142I		0	1.71	0.47
YNL311C		14	1.46	0.61
iOx208I		0	0.64	1.36
iDx090I		0	1.42	0.63
YGL182C		7	2.33	0.34
iHx079I		0	0.71	1.22
iDx156I		0	0.75	1.33
iNx185I		0	1.07	0.94
iJx262I		0	0.96	0.78
iJx328I		0	0.19	4.19
iPx434I		0	1.52	0.44
iLx511I		0	1.23	0.5
YLR145W		12	1.13	0.76
YMR103C		13	1.86	0.53
iCx199I		0	0.66	1.21
iPx100I		0	1.59	0.52
YBL034C	STU1	2	1.16	
YBR117C	TKL2	2	2.08	0.36
YLL063C	AYT1	12	1.32	0.87
iOx477I		0	1.64	0.46
iIx037I		0	0.52	1.7
iEx114I		0	1.06	0.8
YGR265W		7	1.97	0.4
YPR069C	SPE3	16	1.24	0.56
YLR146C	SPE4	12	1.28	0.66
YDR300C	PRO1	4	1.15	0.74
YGL248W	PDE1	7	1.44	0.55
iKx220I		11	0.92	0.81
iOx143I		0	2.2	0.3
iOx209I		0	0.83	0.95
YML020W		13	0.91	0.89
iDx091I		0	1.06	0.75
YGL183C		7	1.91	0.38
iDx157I		0	0.4	2.53
YBR051W		2	1.11	0.74
iNx186I		0	0.42	1.21
iJx263I		0	1.3	0.7
YLR080W		12	0.51	1.5
iJx329I		0	1.61	0.53
YML021C	UNG1	13	1.19	0.84
iPx435I		0	1.48	0.84
iLx512I		0	1.24	0.75
YMR104C	YPK2	13	1.99	0.55
iPx101I		0	0.55	1.39
YNL312W	RFA2	14	1.32	0.74
YBR052C		2	1.46	0.58
YBL035C	POL12	2	0.63	1.19
YLL064C		12	0.87	1.51
iOx478I		0	0.57	1.4
iIx038I		0	0.77	1.1
iEx115I		0	1.57	0.51
YGR266W		7	1.48	0.56
YLR147C	SMD3	12	1.41	0.41
YGL249W	ZIP2	7	1.58	0.51
iOx144I		0	1.41	0.56
iKx221I		0	1.21	0.63
YNL313C		14	1.21	0.84
iDx092I		0	1.3	0.46
YGL184C		7	1.93	0.46
iDx158I		0	0.35	2.51
YGR267C	FOL2	7	1.43	0.49
iNx187I		0	0.32	3.05
iJx264I		0	0.49	1.32
YCR010C		3	0.42	2.99
iPx370I		0	0.67	1.79
YLR081W	GAL2	12	0.7	0.97
YBR118W	TEF2	2	1.2	0.52
iPx436I		0	1.86	0.43
iLx513I		0	1.46	0.33
YMR105C	PGM2	13	2.17	0.42
iPx102I		0	0.52	1.89
YBR053C		2	1.87	0.42
iEx050I		0	0.52	1.81
YBL036C		2	0.27	2.66
YLR082C	SRL2	12	0.64	1.22
iOx479I		0	1.62	0.49
iIx039I		0	1.07	0.81
