NAME	GENE	CHR	ya1s4p2_109	ya1s4p2_125	ya1s4p2_0115FR	ya1s4p2_0111FR	ya1s4p2_0112
YMR227C	TAF67		1.12	1.21	1.05	0.85	0.86
YHR012W	VPS29		1.2	1.24	0.81	0.74	1.3
YNL101W			1.14	1.13	0.95	0.97	1.08
YER061C	CEM1		0.55	0.54	2.08	3.1	0.32
YDL086W			1.59	1.54	0.73	0.84	1.44
YOR090C	PTC5		1.39	1.35	0.78	0.89	1.2
YDR424C	DYN2		0.77	0.64	1.45	1.34	0.82
YOL073C			1.67	1.73	0.57	0.69	1.45
YGR055W	MUP1		1.5	1.51	0.69	0.4	2.54
YOR156C	NFI1		0.81		1.15	1.06	0.79
YHR013C	ARD1		0.69	0.65	1.31	1.2	0.8
YOL139C	CDC33		0.61	0.51	2.17	2.31	0.56
YMR161W	HLJ1		0.9	0.85	1.14	1.38	0.66
YFL001W	DEG1		0.39	0.41	2.15	1.39	0.48
YPL030W			0.64	0.5	1.55	1.53	
YJR007W	SUI2		0.51	0.47	1.91	1.53	0.59
YDL087C	LUC7		1.38	1.52	0.58	0.69	1.66
YBL092W	RPL32		0.59	0.39	1.98	1.99	0.66
YPR113W	PIS1		1.11	1.07	1.01	1.25	0.93
YCL050C	APA1		0.41		2.19	1.41	0.4
YBR175W			0.71	0.76	1.21	1.13	0.72
YMR162C					0.94	0.82	1.21
YEL044W			0.95	0.77	1.18	1.4	0.73
YFL002C	SPB4		0.67	0.51	1.82	1.43	0.62
YER127W	LCP5		1.43	0.37	2.26	0.8	0.45
YKL150W	MCR1		2.98	3.45	0.32	0.44	2.85
YPL031C	PHO85		1.47	1.5	0.7	0.93	1.12
YBL093C	ROX3		1.03	1.15	0.92	1.01	0.95
YKL216W	URA1		0.2	0.17	5.2	4.54	0.2
YNL102W	POL1		1.62	0.51	1.61	1.68	0.3
YER062C	HOR2		1.84	2.23	0.61	0.73	1.75
YEL045C			0.92	0.75	1.14	0.85	0.97
YJL193W			0.71	0.72	1.21	1.16	0.8
YKL151C				8.94	0.17	0.23	4.26
YGR056W	RSC1		0.39	0.41	3.02	1.91	0.51
YOR157C	PUP1		1.71	1.72	0.63	0.51	2.6
YGL039W			2.34	1.99	0.32	0.34	3.09
YMR228W	MTF1		1.46	1.41	0.58	0.72	1.24
YJR008W			4.96	5.58	0.19	0.24	4.24
YDL088C	ASM4		1.11	0.83	1.06	0.85	1.01
YPR114W			0.61	0.69	1.52	1.36	0.82
YBR176W	ECM31		1.3	1.5	0.74	0.72	1.35
YGR057C	LST7		0.85	0.92	1.02	1.02	0.88
YMR163C			0.89	1.12	0.96	0.97	0.96
YLR460C			7.11	3.05	0.11	0.11	10.2
YOR091W			0.44	0.41	2.46	2.1	0.47
YFL003C	MSH4		1.16		0.69		1.25
YER128W			1.82	1.85	0.56	0.61	1.77
YDR425W			1.21	1.33	0.76	0.69	1.34
YMR229C	RRP5		0.85	0.44	2.16	0.81	0.28
YJR009C	TDH2		0.96	1.14	1.92	1.81	1.05
YPL032C	SVL3		0.35	0.26	3.9	2.67	0.37
YHR014W	SPO13		0.83	0.94	0.87	0.84	1.13
YBL094C			1.81	1.89	0.58	0.68	1.35
YKL217W						1	
YBR177C	EHT1		1.32	1.49	0.73	0.95	1.22
YNL103W	MET4		0.99	0.82	1.47	1.11	1
YEL046C	GLY1		1.09	0.94	1.25	1.02	1.05
YCL051W						0.69	0.93
YDR426C			1.47	0.94	0.69	0.92	1.46
YJL194W	CDC6		0.54		0.95	1.04	0.51
YOL075C			0.88	0.7	1.09	1.29	0.8
YKL152C	GPM1		1.32	1.22	0.92	0.94	1.27
YML080W			0.71	0.6	1.57	1.16	0.82
