NAME	GENE	CHR	ya1s4p2_109	ya1s4p2_125	ya1s4p2_0115FR	ya1s4p2_0111FR	ya1s4p2_0112
YGL127C	SOH1		1.19	1.23	0.77	0.75	1.39
YJR030C			1.13	1.3	0.91	0.81	1.08
YPL198W	RPL7B		0.27	0.18	4.17	3.89	0.24
YJL013C	MAD3		1.08	1.13	0.88	1	1.03
YOR244W	ESA1		1.58	1.56	0.57	0.63	1.53
YBR264C	YPT10		0.93	1.26	1	1.19	1.01
YLR293C	GSP1		0.51	0.56	1.93	1.61	0.69
YPL199C			0.72	0.74	1.44	1.53	0.72
YKR067W			1.24	1.29	0.75	0.73	1.32
YGR144W	THI4		2		0.51	0.58	2.04
YMR250W				11.94	0.11	0.14	6.98
YNR019W	ARE2		0.41	0.2	3.3	1.5	0.67
YMR316W			0.76	0.88	1.13	1.05	1.03
YPR202W			2.09	2.32	0.6	0.63	2.01
YDR259C	YAP6		0.92	0.85	1.34	0.85	0.94
YKR068C	BET3		1.43	1.45	0.8	0.85	1.35
YER150W	SPI1		9.9	19.23	0.13	0.2	6.31
YGL128C					0.83		0.92
YJR031C	GEA1		1.06	0.93	0.99	0.96	0.91
YIL056W			0.88	0.68	1.55	1.32	0.87
YDR513W	TTR1		6.29	7.16	0.21	0.21	7.42
YLR359W	ADE13		0.14	0.12	9.39	9.5	0.13
YOL162W			2.37				
YHR102W	NRK1		0.46	0.41	2.32	1.49	0.57
YLR025W	SNF7		1.7	1.83	0.62	0.59	2.03
YLL008W	DRS1		0.38	0.38	2.55	1.91	0.53
YDR193W			1.2	1.15	0.9	0.82	1.24
YLR294C			1.72	1.79	0.7	0.62	1.95
YER151C	UBP3		1.21	1.02	1.01	0.89	0.9
YDL176W			0.83	0.85	1.15	1.18	0.83
YIL057C			0.78	0.86	1.2	0.8	0.84
YOR180C	DCI1		1.08	0.97	0.84	0.81	1.17
YGL062W	PYC1		1.1	0.67	1.34	1.36	0.46
YDR514C			0.97	1.02	1.02	0.88	0.95
YHL020C	OPI1		0.7	0.51	1.5	1.67	0.52
YGR145W			0.35	0.31	3.1	1.92	0.44
YOR246C			0.88	0.94	1.21	1.38	0.73
YLR026C	SED5		0.86	0.89	1.02	0.89	1.03
YMR251W			0.96				
YLL009C	COX17		1.07	0.98	1.29	0.9	1.4
YJL014W	CCT3		0.57	0.57	1.73	1.64	0.66
YDR194C	MSS116		0.52	0.39	2.45	1.82	0.55
YPL120W	VPS30		1.19	1.11	0.88	0.94	1.09
YMR317W			1.03	1.05	0.94		1.11
YDL177C			1.15	1.38	0.78	0.82	1.13
YPR203W			1.8	1.66	0.74	0.76	1.77
YBR265W	TSC10		0.59	0.56	1.9	2.27	0.34
YGR146C			0.99	0.88	1.35	1.08	1.15
YGL129C			0.86	0.67	1.36	1.26	0.9
YMR252C			1.61	2.33	0.47	0.49	1.74
YJL015C			3.35	3.6	0.27	0.29	4.1
YMR318C			1.7	1.56	0.69	0.45	2.86
YPL121C	MEI5		0.68		1.16	0.96	0.81
YHR103W	SBE22		0.33	0.3	3.03	2.36	0.44
YBR266C			0.51	0.42	1.61	1.07	0.77
YLR295C	ATP14		1.82	1.71	0.74	0.65	2.13
YER152C			0.72	0.71	1.45	1.21	0.81
YGR080W	TWF1		1.3	1.26	0.77	0.88	1.36
YGL063W	PUS2		1.18	1.12	0.99	0.95	0.82
YHL021C			2.78	2.89	0.35	0.55	1.96
YKR069W	MET1		1.12	1.84	0.63	0.37	
YLR027C	AAT2		0.95	0.9	1.2	1.55	0.8
YJR032W	CPR7		0.93	0.85	1.3	1.33	0.76
YGR081C			0.88	0.95	1.13	1.04	1.06
YPR204W			2.04	1.79	0.76	0.72	1.68
YGL064C			1.02	0.77	1.12	1.1	0.83
YGR147C	NAT2		0.77	0.78	1.34	1.03	0.81
YMR253C			1.96	3.1	0.36	0.37	
YJR033C			1.12		0.72	0.69	1.12
YIL058W			1.41		0.61	0.59	
YOR181W	LAS17		0.48	0.44	2.25	1.66	0.6
YDR515W	SLF1		1.03	0.86	0.99	0.62	1.39
YOL164W			1.11	1.74	0.48	0.62	1.38
YMR319C	FET4		5.37	6.72	0.19	0.49	2.66
YPL122C	TFB2		0.61	0.67	1.6	1.61	0.68
YHR104W	GRE3		1.33	1.37	0.85	1.02	1.21
YOR247W	SRL1		0.49	0.55	2.68	1.53	0.78
YDR195W	REF2		1.21	1.23	0.82	0.69	1.32
YER153C	PET122		0.8	0.91	0.88	0.73	0.95
YDL178W	AIP2		0.75	0.74	1.43	1.45	0.66
YIL059C			2.4		0.42	0.71	2.58
YOR182C	RPS30B		0.31	0.22	2.6	3.2	0.37
YDR516C			1.17	1.18	0.76	1.32	0.8
YOL165C	AAD15		17.77	22.51	0.06	0.05	26.49
YHL022C	SPO11		0.84		0.87		0.97
YLR028C	ADE16		1.17	1.41	1.26	1.52	0.67
YJL016W			2.56	2.59	0.38	0.35	2.92
YDR196C			2.01	1.95	0.59	0.59	1.91
YGL065C	ALG2		1.07	0.84	1.13	1.07	0.69
YBR267W			0.52	0.42	1.92	1.37	0.74
YEL070W			1.08		0.59		1.33
YGR148C	RPL24B		0.11	0.11	11.09	11.16	0.12
YDR450W	RPS18A		0.15	0.12	10.17	11.93	0.13
YLR296W			0.76	0.75	0.9	0.86	1.12
YMR254C			1.52		0.51		1.08
YMR306C-A			1.52	1.62	0.59	0.63	1.59
YPL123C	RNY1		4.32	4.73	0.2	0.37	3.85
YOR248W			0.66	0.66	1.8	1.15	0.98
YHR105W			2.93	3.94	0.32	0.31	3.75
YDR451C			1.49	1.53	0.71	0.68	1.09
YDL179W	PCL9		0.39	0.4	2.21	2.29	0.4
YGR082W	TOM20		0.48	0.43	2.49	2.29	0.56
YDL100C			1.36	1.05	1.12	0.89	1.45
YOL166C			1.16		0.32		
YHL023C			0.89	1.16	0.83	0.79	0.38
YOR249C	APC5		0.96	0.86	0.97	0.98	0.89
YLR029C	RPL15A		0.09	0.07	22.6	14.28	0.11
YJR034W	PET191		1.28	1.33	0.77	0.75	1.3
YJL017W			1.38	1.46	0.69	0.65	1.7
YPR140W			1.44	1.57	0.65	0.65	1.67
YGR083C	GCD2		0.53	0.48	1.91	1.79	0.56
YBR268W	MRPL37		0.67	0.68	1.51	1.36	0.7
YEL071W			1.65	1.63	0.77	0.77	1.61
YLR297W			5.83	5.64	0.21	0.19	6.57
YER154W	OXA1		0.52	0.53	2.17	1.94	0.61
YHR040W			0.97	1.27	0.79	0.86	0.47
YOR183W			0.37	0.39	2.39	2.38	0.4
YPR141C	KAR3		0.92	0.8	1.22	1.02	1.03
YDR517W	GRH1		1.01	1.04	0.95	1.18	0.82
YHR106W	TRR2		1.45	1.64	0.67	0.63	1.79
YBR269C			4.01	4.63	0.27	0.35	2.87
YDR197W	CBS2		1.42	1.31	0.81	0.8	1.39
YLR298C	YHC1		1.35		0.69		1.67
YER155C	BEM2		0.94	0.88	1.1	1.11	0.88
YHR041C	SRB2		1.04	0.67	1.54	1.27	0.82
YGL066W			1.13	0.73	1.04	0.84	0.73
YDL101C	DUN1		1.34	1.21	0.74	1.43	1.44
YGR149W			2.07	2.2	0.5	0.58	1.98
YHR107C	CDC12		1.19	1.32	0.75	0.82	1.25
YNL130C	CPT1		0.56	0.6	1.86	1.62	0.66
YMR255W	GFD1		2.13	2.41	0.49	0.44	2.12
YJR035W	RAD26		1.07		0.82	0.9	0.9
YJL018W			0.66	0.6	1.58	1.47	0.7
YDR198C			1.44	1.18	0.89	0.78	1.2
YPL124W	NIP29		1.57	1.24	0.56	0.67	1.66
YGR084C	MRP13		1.32	1.35	0.78	0.63	1.55
YMR190C	SGS1		1.26	1.12	0.78	0.75	
YEL072W			4.19		0.2		6.08
YDR452W			0.94	0.65	1.28	1.37	0.79
YMR256C	COX7		1.66	2.06	0.52	0.63	1.87
YJR036C			1.27	1.38	0.5	0.64	1.19
YOR184W	SER1		0.23	0.23	5.13	4.85	0.22
YPR142C			0.81	0.69	1.17	0.94	1
YHL024W	NOS1		1.26	0.76	0.93	0.67	1.94
YDR518W	EUG1		0.6	0.51	1.85	1.72	0.5
YEL073C			1.37	1.51	0.88	1.06	0.94
YDR453C			3.19	4.73	0.38	0.49	2.58
YER156C			0.43	0.46	2.18	2.08	0.46
YOR185C	GSP2		1.51	1.36	1.06	1.12	1.27
YGL067W			0.72	0.65	1.46	1.5	0.71
YFL030W			8.01	9.34	0.13	0.2	7.1
YMR251W-A	HOR7		3.52	3.99	0.49	0.4	3.61
YJL019W			0.73	0.65	1.37	1.19	0.68
YPL125W			1.09	0.83	1.13	1.11	0.74
YGR085C	RPL11B		0.12	0.13	7.68	7.16	0.14
YER090W	TRP2		0.94	0.82	1.29	1.23	0.91
YLR299W	ECM38		2.88	3.31	0.36	0.34	3.12
YMR257C	PET111		0.95	0.82	1.36	1.23	0.65
YHR042W	NCP1		3.24		0.27		6.32
YHL025W	SNF6		1.62	1.44	0.66	0.9	1.12
YDL102W	CDC2		0.97	0.92	1.1	1.13	0.77
YDR519W	FKB2		0.81	0.95	1.21	1.45	0.81
YCLX10C			0.42	0.44	2.34	2.28	0.48
YNL131W	TOM22		0.94	0.99	1.04	1.1	0.97
YHR108W			1.12	1.03	0.99	1.22	0.79
YER091C	MET6		0.31	0.26	4.9	2.8	0.46
YDR199W			1.48	1.82	0.5	0.56	1.84
YDR454C	GUK1		0.43	0.36	3.24	3.57	0.36
YHR043C	DOG2		7.47	9.46	0.13	0.46	2.2
YDR120C	TRM1		0.62	0.6	1.69	1.72	0.61
YGL068W			0.76	0.76	1.61	1.49	0.86
YMR191W			1.79	2.67	0.39	0.59	1.59
YHL026C			1.05	1.24	0.94	0.71	1.5
YDL103C	QRI1		0.91	1.07	0.81	0.96	1.04
YFL031W	HAC1		0.29	0.22	5.15	3.18	0.38
YJR037W			0.91				
YPL060W			2.87	3.03	0.35	0.45	2.75
YPR143W			0.97	0.69	1.57	1.23	0.98
YLR220W	CCC1		0.46	0.44	2.19	1.85	0.58
YPL126W	NAN1		0.38	0.29	3.32	2.75	0.38
YGR086C			1.64	1.62	0.66	0.74	1.44
YGL069C			0.69	0.67	1.79	1.64	0.76
YEL074W			1.94	1.9	0.74	0.88	1.83
YER157W	SEC34		0.68	0.72	1.56	1.32	0.72
YMR258C			1.02	1.03	0.59	0.99	1.05
YKL180W	RPL17A		0.13	0.13	10.76	10.88	0.13
YJR038C			1.14				
YPR144C			0.31	0.29	3.5	1.94	0.48
YLR221C			1.48	1.49		0.99	0.98
YIR001C	SGN1		1.3	1.16	0.85	0.84	1.33
YPL127C	HHO1		1.16	0.96	0.94	1.13	0.95
YHR109W			0.12	0.12	9.72	11.8	0.1
YNL132W			0.27	0.24	3.66	2.62	0.38
YEL075C			2.18	2.29	0.59	0.57	2.18
YDR455C			2.96	3	0.28	0.32	3.63
YER158C			1.35	1.29	0.83	0.63	1.79
YHR044C	DOG1		0.88	7.81	0.13	0.15	8.9
YMR192W			1	0.74	1.19	1.05	0.77
YDL104C	QRI7		1.05	1.14	0.96	0.97	1.03
YFL032W			0.64	0.57	1.45	1.35	0.75
YNL133C			1.91	1.79	0.63	0.85	1.64
YPL061W	ALD6		0.18	0.17	6.88	3.4	0.36
YCLX11W			0.49	0.43	2.16	1.4	0.56
YGR087C	PDC6		0.33	0.46	3.02	2.47	0.44
YER092W			0.84	0.8	1.33	1.01	1.08
YFR050C	PRE4		1.22	1.25	1.08	0.9	1.69
YFL033C	RIM15		0.84	0.95	1.01	0.89	1.1
YMR259C			1.01	0.81	1.3	1.37	0.56
YKL181W	PRS1		0.65	0.57	2.04	2.43	0.48
YDR121W	DPB4		0.88	1.1	1.07	0.84	0.96
YOR187W	TUF1		0.74	0.64	1.92	1.81	0.76
YLR222C			0.36	0.29	3.38	2.01	0.45
YIR002C	MPH1		1.28	1.42	0.55	0.73	1.45
YHL027W	RIM101		1.13	0.98	0.91	1.06	0.33
YPL128C	TBF1		0.75	0.58	1.44	1.47	0.76
YJL210W				1.43			
YDR390C	UBA2		0.73	0.8	1.38	1.24	0.87
YER093C			0.99	1.06	0.94	0.9	1.07
YEL076C			1.78	1.46	0.79	0.72	1.68
YER159C	BUR6		1.78	1.86	0.59	0.59	1.83
YMR193W	MRPL24		1.32	1.22	0.79	0.69	1.65
YNL134C			25.13	34.3	0.05	0.05	27.4
YJL211C			1.13	1.45	0.74	0.88	1.02
YJR039W			1.18	1.01	0.89	0.87	0.91
YPR145W	ASN1		1.18	0.95	1.46	2.23	0.7
YCLX12W			1.1	1.06	0.77	0.77	1.18
YFR051C	RET2		0.48	0.58	1.88	1.07	0.75
YBL111C			2.21	1.71	0.7	0.66	2.02
YDR456W	NHX1		1.42	1.41	0.63	0.79	1.54
YKL182W	FAS1		0.72	0.61	1.53	1.25	0.66
YDR122W	KIN1		1.32	1.85	0.59	0.56	1.76
YOR188W	MSB1		0.59		2.06	1.26	0.67
YHR045W			1.32	1.04	0.16	0.29	0.57
YPR146C			0.92	0.9	1.13	1.04	0.87
YLR223C	IFH1		0.76	0.53	1.9	1.43	0.67
YHL028W	WSC4		0.76	0.49	1.26	1.61	1.05
YDL105W	QRI2		1	0.97	0.85	0.81	0.85
YDR391C			1.74	2.01	0.53	0.72	1.36
YER094C	PUP3		1.82	1.68	0.6	0.5	2.31
YEL077C			1.57	1.83	0.83	0.83	1.47
YDL040C	NAT1		0.72	0.59	1.71	1.76	0.59
YGR088W	CTT1		7.66	12.59	0.13	0.13	9.24
YHR046C			1.44		0.66	0.7	1.41
YDR123C	INO2		0.89	0.84	1.19	1.12	0.96
YMR194W	RPL36A		0.41	0.23	2.59	2.64	0.45
YHL029C			0.92	0.83	1.23	1.02	0.96
YDL106C	GRF10		0.97	0.85	0.95	0.88	0.79
YFL034W			0.83	0.82	1.2	1.03	0.9
YPR080W	TEF1		0.61	0.83	2.67	2.85	0.64
YNL135C	FPR1		0.34	0.35	3.67	3.3	0.41
YJL212C			0.41	0.34			
YPL063W			0.53	0.47	2.19	1.87	0.55
YIR003W			1.7	1.76	0.6	0.59	1.82
YPL129W	ANC1		1.32	1.44	0.7	0.72	1.3
YBL112C			2.03	1.38	0.75	0.68	1.62
YFL035C			1.17	1.18	0.72	0.76	1.28
YPR081C			1.52		0.93	1.2	0.98
YDR457W	TOM1		1.05	1.04	0.82	0.81	1.07
YGL260W			1.17	1.26	0.68	0.61	1.4
YKL183W			0.93	1.01	0.98	0.96	1.07
YPL064C			1.19	1.27	0.84	0.91	1.15
YOR189W			1.89	1.78	0.59	0.58	1.95
YPR147C			0.8	0.73	1.44	1.43	0.7
YDR458C			1.3	1.07	0.81	0.71	1.16
YGL261C			1.25	1.21	1.06	1.18	1.2
YGR089W			0.58	0.48	1.96	1.43	0.77
YHR047C	AAP1'		1.91	2.21	0.49	0.81	1.92
YFR052W	RPN12		1.53	1.62	0.74	0.57	2.15
YMR195W			2.67	2.74	0.42	0.64	1.74
YIR004W	DJP1		0.82	0.72	1.27	1.08	0.94
YLR224W			1.18	1.23	1	0.95	1.15
YOR110W			1.09	1.35	0.78	0.81	0.66
YDR392W	SPT3		1.62	2.13	0.6	0.46	1.85
YER095W	RAD51		1.28	1.22	0.88	0.94	1.15
YBR130C	SHE3		0.9	1.09	0.91	0.86	1.05
YFR053C	HXK1		0.63	0.6	1.93	2.92	0.48
YBL113C			1.84	1.69	0.79	0.73	1.58
YPR082C	DIB1		0.81	0.76	1.41	1.31	0.93
YDL041W			0.9		0.8		1.02
YKL184W	SPE1		0.78	0.51	1.6	0.95	0.72
YDR124W			0.77	0.95	1.05	1.04	0.7
YPR148C			1.65	1.31	0.71	0.82	1.66
YNL070W	TOM7		0.71	0.65	1.7	1.59	0.76
YLR225C			1.99	2.34	0.49	0.68	1.74
YDL107W	MSS2		2.02	2.06	0.49	0.55	2.59
YGR010W			1.45	1.4	0.82	0.84	1.35
YJL213W			1.02	0.4	2.71	2.25	0.36
YNL136W			1.23	1.09	0.87	0.8	1.33
YDR459C				1.51	0.64		0.9
YDL042C	SIR2		1.26	1.34	0.8	0.73	1.36
YDR125C	ECM18		0.96	1.17	0.98	1.03	0.8
YMR196W			1.23				0.86
YFL036W	RPO41		0.64	0.63	1.78	1.41	0.77
YNL137C	NAM9		0.68	0.63	1.57	1.31	0.89
YPL065W	VPS28		1.22		0.73	0.69	1.16
YIR005W	IST3		1.25	1.33	0.73	0.84	1.3
YOR111W			1.32	1.22	0.86	1.01	0.89
YDR393W	SHE9		1.49	1.54	0.69	0.73	1.42
YER096W	SHC1		1.25	0.85	0.96	1.19	0.89
YMR197C	VTI1		3.09	4.06	0.31	0.39	2.95
YFR054C			0.71		1.03	1.16	
YLR160C					0.02		42.26
YGL262W					1.78	1.83	0.49
YKL185W	ASH1		0.73	0.71	1.42	1.29	0.88
YHR048W			0.15	0.13	5.69	5.86	0.17
YNL071W	LAT1		1.61	1.48	0.68	0.85	1.48
YIR006C	PAN1		0.5	0.41	1.82	1.61	0.56
YDL108W	KIN28		1.33	1.33	0.78	0.97	1.14
YGR011W			1.67	1.91	0.72	0.74	1.83
YJL214W	HXT8		0.75	0.6	1.05	1	0.87
YML102C-A			1.36	1.21	1.02	1.05	0.89
YML100W	TSL1		1.41	1.26	0.79	0.8	1.38
YGR280C			0.34		2.77	1.88	0.44
YKL186C	MTR2		0.83	0.71	1.37	1.11	0.9
YDL043C	PRP11		1.37	1.23	0.71	0.92	1.37
YBR131W	CCZ1		0.8	0.76	1.01	1.04	0.85
YDL109C			1.37	1.82	0.67	0.67	1.3
YFL037W	TUB2		0.63	0.68	1.57	1.32	0.86
YPR083W			1.4	1.37	0.78	0.82	1.12
YOR380W			1.32	1.42	0.78	0.83	1.17
YJL215C			0.85		1.07		0.73
YPL066W			0.94	0.81	1.23	1.14	0.86
YML101C			1.26	1.23	0.85	1.02	1.12
YPR149W	NCE102		5.06	4.8	0.31	0.3	5.52
YLR226W	BUR2		0.93	0.87	1.06	0.9	1.07
YOR112W			0.77	0.76	1.25	1.24	0.7
YDR394W	RPT3		1.37	1.24	0.86	0.74	1.67
YER097W			0.8	1	0.78	0.84	0.71
YBR132C	AGP2		4		0.26	0.33	4.65
YDR060W			0.82	0.37	2.16	1.85	0.4
YFL038C	YPT1		2.01	1.9	0.69	0.76	2.05
YEL001C			0.94	0.74	1.47	1.46	0.72
YPL067C			1.51		0.68	0.72	1.68
YDR126W			0.77	0.82	1.2	1.02	0.96
YHR049W			0.21	0.18	4.58	3.89	0.29
YNL072W	RNH35		0.98	0.94	1	0.7	1.06
YLR227C			1.54	1.67	0.78	0.76	1.48
YGR012W			1.06	1.04	0.92	1.08	0.97
YBL101W-A			15.96	9.95	0.18	0.16	16.4
YBL101W-B			6.57	6.77	0.17	0.16	5.82
YNL138W	SRV2		0.68	0.71	1.45	1.39	0.78
YKL187C			1.04	1.12	0.77	0.67	1.31
YDL044C	MTF2		1.2	1.24	0.66	0.67	1.03
YMR198W	CIK1		1.13	1.17	0.8	0.86	0.8
YFR055W			1.03	1	1.07	1.86	0.58
YBR012W-A			13.68	17.93	0.1	0.09	19.21
YBR012W-B							6.62
YPR084W			1.09	1.13	0.87	0.94	1.19
YOR381W	FRE3		0.95	0.61	1.38	1.31	0.6
YNL139C	RLR1		0.91	0.97	1.08	0.98	0.97
YLR161W			0.46	0.49	2.68	2.79	0.44
YJL216C			0.61		1.32	1.23	
YOL030W			1.93	1.77	0.67	0.59	1.92
YIR007W			1.03	0.86	0.99	1.02	1.04
YOR113W	AZF1		1.05	0.92	1.22	1.18	0.91
YDR395W	SXM1		0.34	0.3	3.75	3.14	0.39
YER098W	UBP9		1	0.86	1.09	0.99	0.85
YBR133C	HSL7		0.69	0.72	1.4	1.19	0.86
YFR056C			0.97	0.93	0.98	1.63	0.58
YDR061W			1.61	1.34	0.68	0.74	1.65
YGR281W	YOR1		1.49	1.02	1.03	0.8	0.33
YFL039C	ACT1		0.96	1.08	1.3	1.35	1
YPR085C			1.07	0.79	1.42		0.61
YEL002C	WBP1		0.65	0.56	1.99	2.02	0.63
YPL068C			0.71		1.21	0.93	
YJL150W			1.05		1.08	1.17	0.44
YDR127W	ARO1		1.33	1.36	0.81	0.99	0.81
YNL073W	MSK1		0.63	0.55	1.72	1.33	0.78
YLR228C	ECM22		1.87	2.31	0.44	0.66	1.52
YIR008C	PRI1		0.96	1	0.91	1.17	0.81
YOL031C			0.53	0.53	2.07	1.64	0.63
YGR013W	SNU71		1.46	1.36	0.66	0.66	1.53
YER099C	PRS2		0.96	0.99	1.18	1.53	0.78
YML102W	CAC2		1.09	1.02	0.95	1.1	0.96
YGR282C	BGL2		2.31	2.69	0.55	0.58	2.68
YKL188C	PXA2		0.92	1.13	0.56	0.79	1.1
YDL045C	FAD1		1.26	1.29	0.61	0.94	1.41
YBL050W	SEC17		2.31	2.13	0.48	0.58	1.85
YNL074C	MLF3		1.53	1.25		0.77	1.48
YJL151C			1.95	2.06	0.56	0.78	1.77
YMR199W	CLN1		1.02	0.72	1.38	1.84	0.48
YOR382W			2.33		0.26	0.38	2.89
YLR162W			0.74	0.82	1.07	0.88	0.88
YMR120C	ADE17		0.06	0.05	25.15	21.06	0.06
YML103C	NUP188		1.23	1.35	0.86	0.93	1.16
YOR114W			1.92	2.2	0.48	0.61	2.21
YBL051C			0.55	0.42	2.15	1.51	0.57
YDR396W			1.08	0.98	1.19	1.16	0.99
YDR062W	LCB2		0.5	0.46	2.09	2.04	0.5
YLR163C					0.03	0.04	
YOR383C			0.77	0.66	1.44	1.2	0.71
YPL069C	BTS1		1.26	1.19	0.81	0.8	1.49
YDR128W			1.15	1.08	0.83	0.78	1.18
YLR229C	CDC42		1.01	1.03	1.25	1.59	0.89
YGR014W	MSB2		0.76	0.63	1.7	1.11	1.04
YOR115C	TRS33		1.24	1.2	1	1.1	1.04
YJL217W			47.95		0.02	0.08	28.87
YDR397C	NCB2		0.92	0.96	1.08	1.08	0.95
YGR283C			1.3	1.14	0.97	0.95	1.32
YBR162W-A	YSY6		0.78	0.95	1.38	0.98	0.97
YDR129C	SAC6		1.01	0.91	1.09	1.2	0.86
YBR134W			0.53	0.62	1.27	1.41	0.61
YFR057W			1.35		0.53	0.42	
YGR015C			1.03	1.44	0.7	0.83	1.15
YER020W	GPA2		0.88	1.13	0.71	0.73	0.98
YPR086W	SUA7		1.06	0.77	1.23	1.14	0.91
YMR121C	RPL15B		0.14	0.1	13.27	12.92	0.13
YEL003W	GIM4		0.72	0.79	1.67	1.7	0.87
YML104C	MDM1		1.05	1.07	0.86	0.83	0.86
YIR009W	MSL1		0.74	0.64	1.54	1.38	0.96
YOL032W			2.42	3.38	0.33	0.57	2.44
YBL052C	SAS3		1.02	0.9	1.19	1.12	0.9
YDR063W			1.02	1.07	0.95	0.94	1.05
YDL046W			4.16	4.95	0.25	0.27	4.82
YKL189W	HYM1		1.23	1.69	0.58	0.59	1.02
YOR050C			1.13	1.07	0.95	1.01	1.26
YJL152W			2.15	2.64	0.49	0.62	2.07
YNL075W	IMP4		0.59	0.65	1.59	1.35	0.7
YNL330C	RPD3		0.91	0.77	1.26	1.34	0.74
YKL110C	KTI12		1.16	1.12	0.8	0.87	1.46
YOR116C	RPO31		1.05	1.12	1.04	0.92	0.99
YJL218W			0.29		2.96		0.28
YGR284C			2.13	1.84	0.56	0.65	2
YCL010C			0.99	0.91	0.97	1.1	0.78
YJL153C	INO1		0.33		2.87	1.43	0.3
YBR135W	CKS1		0.93	0.74	0.99	1.15	0.86
YER021W	RPN3		1.35	1.12	0.78	0.68	1.59
YPR087W			1.03	0.92	1.25	1.22	1.04
YOR384W	FRE5		0.88		1.22	1.15	0.84
YLR164W			2.58		0.33	0.41	3.42
YMR122C			0.81	0.77	1.16	1.12	0.64
YEL004W	YEA4		0.87	0.87	0.99	0.95	0.87
YML105C	SEC65		1.02	1	0.92	1.02	1.07
YOL033W	MSE1		0.83	0.91	1.23	1.08	0.92
YBR070C			1.14	0.99	0.87	0.92	1.4
YDR398W			0.29	0.24	3.88	2.12	0.42
YDR064W	RPS13		0.18	0.18	5	4.73	0.25
YPR088C	SRP54		0.87	0.79	1.24	1.28	0.82
YLR165C			17.87		0.13	0.11	11.11
YDL047W	SIT4		1.04	0.95	1.12	1.05	0.83
YEL005C	VAB31		1.73	1.89	0.54	0.74	1.57
YOR051C			0.42	0.42	2.78	2.8	0.4
YNL076W	MKS1		0.87	0.79	1.18	1.1	0.81
YNL331C	AAD14		23.61	25.9	0.04	0.03	40.59
YKL111C			1.07	1.03	1.18	1.22	0.91
YGR016W			1.22		0.83		0.9
YJL219W	HXT9		0.57		1.49	1.19	0.68
YGR285C	ZUO1		0.5	0.42	2.75	2.71	0.41
YDL048C	STP4		1.57	1.31	0.83	0.61	2.32
YBL053W			1.05	0.88	0.93	0.84	0.98
YCL011C	GBP2		0.9	0.78	1.45	1.47	0.8
YJL154C	VPS35		1.45	1.28	0.76	0.79	1.31
YER022W	SRB4		1.19	1.33	0.68	0.84	0.71
YOR385W			0.75	0.9	1.03	1.03	0.78
YOL034W			0.82	0.73	1.22	1.06	0.92
YOR117W	RPT5		1.28	1.16	0.96	0.76	1.64
YDR399W	HPT1		0.33	0.34	3.76	2.7	0.42
YDR065W			0.94	1.16	0.89	0.85	1.22
YLR166C	SEC10		0.65	0.76	1.34	1.74	0.72
YDR320C			0.84	0.6	1.1	1	0.73
YOR052C			4.17	4.1	0.25	0.29	5.34
YNL077W			0.94		1.03		0.78
YOL035C			1.25	1.01	0.87	0.84	1.24
YML040W			25.73	27.8	0.08	0.07	32.55
YGR017W			0.6	0.58	1.73	1.69	0.62
YPL260W			1.21	1.32	0.84	0.65	1.55
YMR123W	PKR1		0.47	0.53	2.57	2.01	0.58
YLR420W	URA4		0.6	0.52	2.34	2.24	0.61
YML106W	URA5		0.49	0.49	2.65	2.61	0.47
YGR286C	BIO2		0.33	0.33	3.13	2.65	0.34
YDR066C			1.47	1.64	0.66	0.74	1.27
YBR071W			2.16	2.4	0.42	0.37	2.56
YDL049C	KNH1		1.08	1.12	0.88		1.1
YBL054W			1.6	1.69	0.67	0.68	
YJL155C	FBP26		1.44		0.37	0.46	1.58
YBR137W			1.92	2.47	0.47	0.57	1.87
YGR018C			0.7	0.77	1.64	1.5	0.65
YPL261C			0.91	1.08	0.74	0.66	1.55
YML041C			1.78	1.93	0.53	0.43	2.02
YER023W	PRO3		1.14	1.01	0.92	1.23	0.94
YPR089W			0.76		1.28	1.13	0.79
YOR386W	PHR1		1.61	1.56	0.59	0.96	1.08
YLR421C			1.11	1.1	1.14	0.92	1.36
YEL006W			1.14	1.02	0.88	0.75	0.33
YML107C			0.52	0.34	2.44	2.1	0.59
YPR010C	RPA135		1.76	1.53	0.59	0.63	1.89
YKL112W	ABF1		0.9	0.85	1.15	1.11	0.79
YNL332W	THI12		2.24	2.53	0.38		1.42
YOR118W			0.83	0.85	1.33	1.02	0.88
YBL055C			0.53	0.56	1.88	1.27	0.66
YBR138C	HDR1		2.19	2.17	0.5	0.53	2.52
YOR387C			1.31	2.28	0.47	0.53	1.59
YCL012W			1.43	1.67	0.61		2.11
YNL078W			0.64	0.54	1.58	1.21	0.77
YKL113C	RAD27		1.03	0.84	1.2	1.03	0.96
YOR119C	RIO1		0.74	0.83	1.34	1.44	0.75
YMR124W			0.95	0.81	1.17	0.99	0.94
YGR287C			0.99	0.81	0.98	1.11	0.81
YDR067C			1.02	1.01	1.01	1.17	1.06
YBR072W					0.01	0.01	
YJL090C	DPB11		0.84	0.69	1.48	1.27	0.8
YCR030C			0.82	0.68	1.54	1.25	0.97
YNL079C	TPM1		1.28	1.01	1.03	0.99	1.22
YJL156C	SSY5		1.07	1.05	1.04	0.98	1.01
YDR321W	ASP1		0.57	0.4	2.12	2.19	0.48
