INAME	GENE	CHR	SIMR_UP2_184FR	SIMR_UP2_229	SIMR_UP2_231
YHR025W	THR1	8	  1.11	  1.16	  1.15
YBR188C	NTC20	2	  1.67	  2.07	  0.69
iEx185I		0	  1.15	  0.96	  0.69
iKx291I		0	  1.27	  0.88	  0.66
YDL020C	RPN4	4	  0.59	  0.44	  1.16
iKx357I		0	  2.28	  0.79	  0.42
iGx434I		0	  1.00	  0.97	  1.02
iKx023I		0	  1.59	  1.01	  0.54
YHL009C	YAP3	8	  1.73	  0.96	  0.59
iGx100I		0	  0.63	  0.84	  1.38
YNL115C		14	  0.82	  0.62	  1.28
YML092C	PRE8	13	  0.43	  0.70	  2.39
iJx066I		0	  0.68	  1.03	  1.50
YDR371W		4	  0.79	  1.22	  1.65
iBx220I		0	  1.42	  0.85	  0.71
iFx143I		0	  1.00	  1.47	  0.83
iPx172I		0	  1.37	  1.07	  0.59
YDR437W		4	  1.19	  1.44	  0.79
iDx803I		0	  0.69	  0.75	  1.77
YDR103W	STE5	4	  0.54	  0.83	  1.61
iPx238I		0	  1.06	  0.70	  1.31
iLx315I		0	  1.75	  1.16	  0.50
YHR026W	PPA1	8	  0.44	  0.59	  2.62
iEx186I		0	  1.17		  0.78
YDR372C		4	  0.93	  1.13	  1.71
iKx292I		0	  0.95	  1.09	  0.74
YCL063W		3	  1.13	  0.94	  0.87
iKx358I		0	  0.42	  1.17	  1.90
iGx435I		0	  1.49	  1.58	  0.42
YGR069W		7	  1.49	  1.28	  0.63
YDR104C		4	  0.76	  1.31	  1.58
YHR027C	RPN1	8	  0.83	  0.79	  1.38
YNL050C		14	  0.53	  0.54	  2.45
iKx024I		0	  0.43	  0.66	  1.86
YMR175W	SIP18	13	  1.08	  0.98	  0.64
iGx101I		0	  0.69	  0.67	  1.41
YCL064C	CHA1	3	  1.01	  0.52	  1.04
YBR189W	RPS9B	2	  1.45	  2.15	  0.81
iJx067I		0	  1.09	  1.14	  1.26
iBx221I		0	  1.16	  1.20	  0.72
iFx144I		0	  1.28	  1.02	  0.75
iLx250I		12	  0.55	  0.73	  1.43
iPx173I		0	  1.36	  0.69	  0.87
YDL021W	GPM2	4	  0.53	  0.84	  2.21
YDR438W		4	  1.22	  1.02	  0.80
iDx804I		0	  0.70	  1.23	  1.39
iPx239I		16	  1.30	  0.90	  1.05
iLx316I		0	  0.85	  0.79	  0.96
iEx187I		5	  1.15		
YNL116W		14	  0.76	  1.00	  1.32
YCR081W	SRB8	3	  1.14	  1.35	  0.80
iKx293I		0	  0.67	  0.98	  1.47
iGx370I		0	  1.28	  0.49	  0.64
iKx359I		0	  1.70	  1.26	  0.58
iGx436I		0	  0.96	  0.99	  0.75
YIL170W	HXT12	9	  1.55	  1.81	  0.63
YDR105C		4	  1.48	  1.15	  0.60
YHR028C	DAP2	8	  1.30	  0.73	  0.73
YML093W		13	  0.66	  1.32	  1.48
YMR176W				  0.92	  0.76
iKx025I		0	  1.44	  0.73	
iGx102I		0	  0.79	  1.20	  1.01
iJx068I		0	  0.59	  0.87	  1.70
YDR373W	FRQ1	4	  1.28	  1.56	  0.77
iBx222I		0	  1.72	  0.83	  0.43
iFx145I		0	  0.50	  1.11	  2.84
iLx251I				  0.42	
iPx174I		0	  0.69	  0.53	  1.74
YDL022W	GPD1	4	  1.46	  0.83	  0.59
YDR439W	LRS4	4	  0.66	  0.73	  1.54
YOR360C	PDE2	15	  0.61	  0.66	  1.48
iDx805I		0	  1.09	  0.73	  1.03
iLx317I		0	  0.40	  1.18	  2.42
YNL051W		14	  0.45	  1.06	  2.60
YNL117W	MLS1	14	  1.46	  0.81	  0.68
iEx188I		0	  0.84	  1.12	  0.81
YDR374C		4	  1.18		  1.02
YCR082W		3	  0.68	  0.72	  1.57
iKx294I		0	  1.18	  1.06	  0.95
iGx371I		0	  1.38	  0.50	  0.69
YCL065W		3	  1.10	  1.78	  1.04
YDR040C	ENA1	4	  1.08	  0.90	  1.26
YDL023C		4	  1.64	  0.54	  0.49
iGx437I		0	  1.74	  0.64	  0.44
YIL171W	HXT12	9	  1.28	  1.82	  0.70
YHR029C		8	  1.14		  1.10
YML094W	GIM5	13	  1.43	  0.40	  0.67
iKx026I				  0.74	
YMR177W	MMT1	13	  0.96	  0.87	  0.98
iGx103I		0	  0.57	  1.46	  1.53
YNL118C	DCP2	14	  0.95	  1.20	  1.15
iFx080I		0	  1.18	  0.93	  0.68
YIL172C		9	  0.81	  0.84	  1.56
YML095C	RAD10	13	  1.42	  0.68	  0.69
iJx069I		0	  0.97	  0.55	  0.98
iBx223I		0	  1.66	  0.80	  0.50
iDx740I		0	  0.57	  0.87	  1.51
iFx146I		0	  0.55	  1.09	  1.85
iLx252I				  0.97	
iPx175I		0	  1.62	  0.69	  0.63
YOR361C	PRT1	15	  1.36	  0.76	  0.73
iDx806I		0	  0.59	  0.70	  1.44
YDR106W	ARP10	4	  1.25	  1.15	  0.78
iLx318I		0	  0.66	  2.29	  1.80
YNL052W	COX5A	14	  0.77	  0.93	  1.55
iEx189I		0	  1.10	  1.00	  0.79
YDR375C	BCS1	4	  1.48	  0.65	  0.73
iKx295I		0	  1.20	  1.72	  0.69
YCR083W	TRX3	3	  0.41	  0.66	  2.07
iGx372I		0	  0.78	  0.88	  0.93
YCL066W	HMLALPHA1	3	  0.97	  0.52	  1.04
YDL024C		4	  1.30	  0.88	  0.68
iGx438I		0	  1.93	  2.26	  0.55
YDR107C		4	  0.89	  1.00	  0.78
YJL130C	URA2	10	  0.84		  0.74
iKx027I		0	  1.50		  0.61
YMR178W		13	  0.80	  1.19	  1.06
iGx104I		0	  1.24	  2.79	  0.58
iMx210I		0	  0.49	  1.21	
YCR084C	TUP1	3	  1.30	  0.62	  0.84
YOL010W		15	  0.77	  0.99	  1.70
YCL067C	HMLALPHA2	3	  0.99	  0.94	  1.08
YHR139C-A		8	  0.77	  0.90	  1.05
iFx081I		0	  1.52	  1.30	  0.55
iBx224I		0	  1.21		  0.79
iDx741I		0	  1.40	  1.03	  0.79
iFx147I		0	  1.16	  1.93	  0.97
YDR041W		4	  0.90	  1.84	  1.19
iLx253I				  1.00	
iPx176I		0	  0.67	  0.67	  1.22
YOR362C	PRE10	15	  1.79	  1.34	  0.60
iDx807I		0	  1.04	  0.75	  1.10
YNR070W		14	  0.86	  1.91	  0.87
iLx319I		0	  1.08	  1.65	  0.91
YNL053W	MSG5	14	  1.10	  1.19	  1.11
YNL119W		14	  0.61	  0.65	  2.11
iKx296I		0	  1.09	  0.76	  0.60
iGx373I		0	  0.49		  1.82
YDR042C		4	  0.76	  0.67	  1.35
YDL025C		4	  1.24	  1.08	  0.70
iGx439I		0	  1.05	  1.16	  0.83
YNR071C		14	  0.62	  0.54	  1.68
YIL173W				  0.53	  0.80
YML096W		13	  1.29	  0.76	  0.77
YJL131C		10	  0.42		  3.20
iKx028I		0	  1.32	  0.97	  0.59
YMR179W	SPT21	13	  0.57	  2.03	  1.42
iGx105I		0	  0.85	  0.83	  1.26
iMx211I		0	  0.69	  1.08	
YOL011W	PLB3	15	  1.50	  1.71	  0.85
YCL068C		3	  1.20	  0.63	  0.86
iFx082I		0	  0.66	  1.02	  1.30
YML097C	VPS9	13	  1.18	  0.68	  0.70
YDR376W	ARH1	4	  1.66	  0.83	  0.60
iBx225I		0	  0.38	  1.16	  2.29
iDx742I		0	  0.63	  0.72	  1.54
iFx148I		0	  1.68	  1.08	  0.53
iLx254I		12	  0.49	  1.18	
iPx177I		0	  1.42	  1.85	  0.56
YOR363C	PIP2	15	  1.26	  1.60	  0.77
iDx808I		0	  0.77	  1.40	  1.42
YDR108W	GSG1	4	  0.80	  0.83	  1.74
YNL054W	VAC7	14	  1.30	  0.75	  0.61
YOL012C	HTA3	15	  1.77	  1.23	  0.45
YCR085W				  0.96	
iKx297I		0	  1.05	  1.87	  0.84
iGx374I		0	  0.63	  1.11	  1.67
YDR043C	NRG1	4	  0.76	  1.17	
iMx480I		0	  0.50	  1.09	  1.61
iGx040I		0	  0.71	  1.09	  1.23
YDR109C		4	  0.66	  1.29	  1.35
YIL174W		9	  1.17	  1.19	  1.16
YNL055C	POR1	14	  1.17		  0.84
iKx029I		0	  1.11	  0.63	  0.72
iGx106I		0	  1.63	  1.10	  0.48
iMx212I		0	  1.16	  0.60	  1.20
iBx160I		0	  0.56		  2.37
iFx083I		0	  0.82	  1.24	  1.34
iBx226I		2	  0.97	  3.30	  1.28
YDR377W	ATP17	4	  1.05	  0.89	  0.74
iDx743I		0	  0.87	  0.81	  1.39
iFx149I		0	  0.71	  0.66	  1.38
iLx255I				  0.74	
iPx178I		0	  0.34	  0.69	  2.87
YDL026W		4	  1.35	  0.54	  0.70
iDx809I		0	  1.08	  0.88	  1.20
YNR072W	HXT17	14	  1.19	  0.59	  1.17
YJL132W		10	  0.47	  0.91	  1.95
YOL013C	HRD1	15	  1.00	  1.27	  1.22
YDR378C	LSM6	4	  1.25	  1.79	  0.63
iKx298I		0	  0.90	  1.26	  1.53
YCR086W		3	  1.82	  0.71	  0.48
iGx375I		0	  0.52	  2.46	  1.70
YCL069W		3	  1.10	  1.35	  0.95
iMx481I		0	  0.49	  1.42	  2.20
YDL027C		4	  1.37	  0.50	  0.69
iGx041I		0	  0.62	  0.92	
YJR150C	DAN1	10	  0.86		  1.19
YNR073C		14	  1.09	  1.97	  0.85
YIL175W		9	  1.12	  1.38	  1.55
YML098W	TAF19	13	  1.43	  0.72	  0.69
iGx107I		0	  1.73	  0.78	  0.48
YER001W	MNN1	5	  0.87	  0.80	  1.02
iMx213I		0	  0.83	  1.30	  0.61
YOR364W		15	  1.49	  1.54	  0.56
YCR097WA	a1	3	  0.87	  1.36	  1.11
YOR030W	DFG16	15	  1.34	  1.32	  0.68
YCR097WB				  0.77	
iBx161I		0	  0.62		  1.59
iFx084I		0	  0.78	  0.55	  1.06
iLx190I		0	  1.09	  0.72	  0.75
YIL176C		9	  1.18	  0.44	  1.35
YML099C	ARG81	13	  0.89	  0.72	  1.08
iBx227I		0	  1.08	  1.16	  0.96
iDx744I		0	  0.88	  0.94	  1.01
YDR044W	HEM13	4	  0.64	  1.08	  2.13
iLx256I				  1.18	  1.05
iPx179I		0	  1.49	  1.05	  0.80
iDx410I		0	  1.47	  1.19	  0.77
YOR365C		15	  1.36	  1.03	  0.74
YJL133W	MRS3	10	  1.22	  1.45	  0.74
YNL056W		14	  1.23	  3.38	  0.78
iKx299I		0	  1.47	  0.77	  0.54
YCR087W		3	  1.69	  2.32	  0.57
iGx376I		0	  1.43	  0.62	  0.70
YDR045C	RPC11	4	  0.51	  0.75	  2.01
iMx482I		0	  0.63	  0.80	  1.36
YDL028C	MPS1	4	  0.68	  0.62	  1.64
iGx042I		0	  1.43	  0.95	  0.78
YJR151C		10	  0.91		  1.35
YNR074C		14	  1.18	  0.89	  0.66
iGx108I		0	  1.14	  0.90	  1.01
YER002W		5	  0.60	  1.30	  1.80
YPL240C	HSP82	16	  1.05	  0.48	  1.18
iMx214I		0	  1.17	  2.05	
YOR031W	CRS5	15	  0.69	  1.59	  1.19
YOL014W		15	  0.80	  2.02	  1.25
iBx162I		0	  0.82		  1.27
iFx085I		0	  0.95	  1.20	  0.77
iLx191I		0	  0.39	  0.94	  2.80
YIL177C		9	  1.58	  0.93	  0.85
YDR379W	RGA2	4	  1.14	  0.63	  0.89
iBx228I		0	  0.87		  1.04
iDx745I		0	  1.88	  0.76	  0.56
iLx257I				  0.45	
iDx411I		0	  1.76	  1.11	  0.51
YER003C	PMI40	5	  0.56	  1.82	  2.05
YJL134W	LCB3	10	  1.27	  0.68	  0.64
YOR032C	HMS1	15	  0.74	  0.77	  1.64
YNL057W		14	  1.40	  1.00	  0.55
YLR400W		12	  2.32	  0.93	  0.42
YCR088W	ABP1	3	  1.81	  1.02	  0.44
iGx377I		0	  1.00	  1.05	  0.96
YDR046C	BAP3	4	  1.03	  0.76	  0.84
iMx483I		0	  1.55	  1.93	  0.89
iCx120I		0	  1.71		  0.55
iGx043I		0	  0.65	  1.99	
YNL058C		14	  1.86	  0.94	  0.47
iGx109I		0	  1.30	  0.77	  0.62
YPL241C	CIN2	16	  1.35	  0.66	  0.75
iMx215I		0	  1.55	  1.15	
YOR366W		15	  0.91	  0.44	  0.98
YLR401C		12	  2.91	  2.61	  0.50
YOL015W		15	  1.10	  1.63	  0.98
iBx163I		0	  1.35		  0.81
iDx680I		0	  0.87	  0.65	  1.09
iFx086I		0	  0.56	  1.48	  1.48
iLx192I		0	  1.01	  0.83	  0.97
iBx229I		0	  0.99	  2.02	  0.94
iDx746I		0	  1.63	  0.68	  0.79
iLx258I				  0.66	
iDx412I		0	  0.73	  0.79	  1.36
YDL029W	ARP2	4	  0.55	  1.41	  1.69
iHx001I		8	  2.05	  2.10	  0.96
YJR152W	DAL5	10	  0.85		  1.19
YNR075W	COS10	14	  1.30	  0.58	  0.90
YJL135W		10	  1.59	  1.55	  0.59
YOR033C	DHS1	15	  0.67	  1.86	  2.02
YOL016C	CMK2	15	  0.86	  0.86	  1.59
YCR089W	FIG2	3	  1.49	  0.55	  0.78
iGx378I		0	  1.44	  0.94	  0.65
YJL070C				  1.16	  1.04
iMx484I		0	  1.16	  0.51	  0.94
iCx121I		0	  1.89		  0.54
iGx044I		0	  0.46	  0.75	  1.80
iMx150I		0	  0.87	  0.91	
YJL136C	RPS21B	10	  1.59		  0.58
YNL059C	ARP5	14	  0.88	  1.45	  1.17
YER004W		5	  1.63	  2.59	  0.52
YPL242C	IQG1	16	  0.78	  2.89	  1.04
iMx216I		0	  0.58	  1.54	  1.62
YOR367W	SCP1	15	  0.59	  1.22	  1.00
iBx164I		0	  1.57		  0.74
iDx681I		0	  0.52	  0.71	  1.61
iFx087I		0	  0.56	  0.70	  1.36
iLx193I		0	  0.75	  0.57	  1.06
iDx747I		4	  0.92	  1.05	  0.85
iLx259I				  0.55	
YDR047W	HEM12	4	  1.01	  0.69	  0.70
iDx413I		0	  1.72	  0.60	  0.59
iHx002I		0	  1.90	  0.74	  0.62
YJR153W	PGU1	10	  1.00		  1.24
YNR076W	PAU6	14	  1.01	  1.28	  1.46
YOR034C	AKR2	15	  1.32	  1.14	  1.08
YLR402W		12	  2.25	  0.90	  0.31
iGx379I		0	  1.95	  0.90	  0.64
YDR048C		4	  1.22	  0.55	  1.03
iMx485I		0	  2.12	  0.62	  0.49
iCx122I		0	  1.69		  0.58
iGx045I		0	  0.55	  1.08	  1.34
YNR077C		14	  1.01	  0.67	  1.42
iMx151I		0	  0.85	  1.39	  1.10
YJL137C	GLG2	10	  1.55		  0.53
YER005W	YND1	5	  1.40	  0.63	  0.70
iMx217I		0	  1.37	  1.19	
YOR368W	RAD17	15	  0.57	  0.68	  2.13
iOx400I		0	  0.73	  1.25	  1.60
iFx088I		6	  0.70	  1.05	  1.74
YOL017W		15	  1.13	  1.58	  1.22
iBx165I		0	  0.67		  1.02
iDx682I		0	  0.58	  1.25	  1.56
iLx194I		0	  0.76	  1.53	  1.09
iHx271I		0	  0.88		
iDx748I		0	  0.90	  0.58	  1.16
YJL071W	ARG2	10	  0.50	  1.73	  1.77
iDx414I		0	  1.04	  0.73	  1.03
YOR369C	RPS12	15	  0.62	  1.94	  1.55
iHx003I		0	  1.26	  0.65	  1.02
YJR154W		10	  1.14	  0.87	  0.71
YOR035C	SHE4	15	  1.76	  1.50	  0.73
YOL018C	TLG2	15	  0.75	  0.57	  1.53
YPL243W	SRP68	16	  0.64	  0.63	  1.87
YLR403W	SFP1	12	  1.45	  1.28	  1.07
YLL018C-A	COX19	12	  1.64	  0.72	  0.49
YJL072C		10	  0.73		  1.34
iMx486I		0	  1.54	  0.44	  0.57
iCx123I		0	  1.38		  0.68
iGx046I		0	  0.93	  1.18	  1.04
iMx152I		0	  1.41	  1.38	  0.36
YJL138C	TIF2	10	  1.27		  0.80
YER006W		5	  0.86	  0.53	  1.27
YPL244C		16	  0.99	  0.37	  0.95
iMx218I		0	  1.10	  1.07	  0.59
iOx401I		0	  1.04	  2.51	  0.87
iBx166I		0	  1.28		  0.71
iDx683I		0	  1.05	  0.60	  1.13
iFx089I		0	  0.72	  0.93	  1.16
iLx195I		0	  1.69	  0.53	  0.50
iHx272I		0	  0.86	  1.80	  0.98
iDx749I		0	  0.59	  0.78	  1.75
YAL001C	TFC3	1	  0.67	  1.89	  1.75
YDR049W		4	  0.46	  0.84	  2.03
iDx415I		0	  1.92	  1.83	  0.45
iHx004I		0	  1.15	  0.90	  1.62
YJR155W	AAD10	10	  0.88	  1.05	  1.13
iNx110I		0	  0.99		  0.88
YLR404W		12	  0.99	  1.43	  1.45
YJR090C	GRR1	10	  0.71		  1.35
iMx487I		0	  0.49	  1.24	  1.80
iCx124I		0	  0.78		
iGx047I		0	  1.49	  0.67	  0.59
YJR156C	THI11	10	  0.67	  0.59	  1.52
iMx153I		0	  1.99	  0.70	  0.48
iIx230I		0	  1.12		  0.77
YJL139C	YUR1	10	  0.87		  1.36
YER007W	PAC2	5	  0.48	  0.83	  2.61
iMx219I		0	  0.93	  0.96	  0.99
YKL030W		11	  1.45		  0.73
iOx402I				  2.23	  0.82
YOR036W	PEP12	15	  2.17	  1.46	  0.74
YOL019W		15	  1.02	  0.79	  1.02
iBx167I		0	  1.64		  0.49
iDx684I		0	  1.66	  1.43	  0.46
iLx196I		0	  1.22	  0.69	  0.47
iHx273I		0	  0.53	  0.64	  1.76
iDx350I		0	  1.59	  0.76	  0.75
iDx416I		0	  0.48	  0.44	  2.63
YER008C	SEC3	5	  1.19	  0.54	  0.80
YJL073W	JEM1	10	  0.92		  1.11
iHx005I		0	  0.74	  1.18	  1.68
iNx111I		0	  1.10	  2.05	  1.04
YPL245W		16	  0.83	  0.76	  1.27
YLR405W		12	  0.54		  2.28
YJR091C	JSN1	10	  1.87		  0.45
YJL074C	SMC3	10	  0.73		  1.33
iCx125I		0	  0.65	  2.62	  1.79
iMx488I		0	  1.29		  0.66
iGx048I		0	  0.94	  0.82	  0.68
iMx154I		0	  1.17	  0.59	  0.84
iIx231I		0	  0.79	  0.43	  1.17
YAL002W	VPS8	1	  1.07	  0.60	
YPL246C		16	  1.43		  0.72
YKL031W		11	  1.43	  1.32	  0.56
YLR406C				  1.45	  0.85
iOx403I		0	  1.19	  0.78	  0.76
YOR037W	CYC2	15	  0.95	  0.86	  1.50
iBx168I		0	  1.00		  1.36
iDx685I		0	  0.90	  1.00	  0.74
iLx197I		0	  1.06	  0.76	  0.69
iHx274I		0	  0.43	  1.28	  1.64
iDx351I		0	  1.47	  1.65	  0.74
YAR020C	PAU7	1	  0.99	  0.66	  1.37
iNx380I		0	  1.47	  1.58	  0.47
iDx417I		0	  0.95	  1.32	  1.76
YKL032C	IXR1	11	  0.97	  0.73	  1.09
iHx006I		0	  0.76	  0.77	  1.34
YJR157W		10	  0.73	  0.72	  1.77
YOR038C	HIR2	15	  1.41	  1.56	  1.11
YPL180W		16	  2.04	  2.17	  0.62
iNx112I		0	  1.86	  0.58	  0.69
YLR340W	RPP0	12	  1.47	  1.57	  0.67
iCx060I		0	  1.35	  0.83	  0.81
YJL075C		10	  0.56		  2.03
iMx489I		0	  1.32		  0.53
iCx126I		0	  0.63		  2.19
iGx049I		0	  1.14	  0.69	  0.78
iMx155I		0	  1.06	  0.62	  0.72
iIx232I		0	  0.83	  0.58	  1.23
YAL003W	EFB1	1	  0.55	  0.61	  1.56
YPL247C		16	  1.34	  0.48	  0.78
YER009W	NTF2	5	  1.44	  0.91	  0.62
iOx404I		0	  1.66	  0.85	  0.56
iBx169I		0	  0.80		  1.48
iDx686I		0	  0.32	  3.05	  2.80
iLx198I		0	  0.97	  1.03	  0.75
iHx275I		0	  0.31	  1.03	  2.90
iDx352I		0	  1.27	  0.77	  0.90
iNx381I		0	  1.73	  0.56	  0.46
YJR092W	BUD4	10	  0.78	  0.66	  1.08
iDx418I		0	  0.50	  1.36	  1.95
YGL110C		7	  0.70	  0.88	  1.51
iHx007I				  1.08	  1.46
YJR158W	HXT16	10	  1.02		  1.11
YPL181W		16	  1.95		  0.49
iNx113I		0	  0.86	  0.90	  1.24
YLR341W		12	  1.32	  0.60	  0.82
YLR407W		12	  1.28	  1.05	  0.77
iCx061I		3	  1.90	  0.57	  0.61
YJR093C	FIP1	10	  0.52	  0.86	  1.87
iMx090I				  1.52	  1.70
iCx127I		0	  0.94		  1.10
YPL182C		16	  2.33	  0.59	  0.34
iMx156I		0	  1.19		  1.01
iIx233I		0	  1.33	  1.03	  0.47
iEx310I		0	  1.77	  0.90	  0.59
YAL004W		1	  1.52	  0.84	
YKR050W	TRK2	11	  0.87	  1.81	
YPL248C	GAL4	16	  1.25	  0.55	  0.97
YKL033W		11	  0.78	  1.58	  1.68
YLR408C		12	  0.78	  1.14	  1.37
iOx405I		0	  0.56	  1.63	  2.16
YOR039W	CKB2	15	  1.47	  0.81	  0.75
iDx687I		0	  2.01	  0.74	  0.47
iLx199I		0	  1.04	  2.74	  0.81
iHx276I		0	  0.49	  1.09	  1.61
iDx353I		0	  1.15	  0.79	  0.94
YAL005C	SSA1	1	  1.34	  0.72	  0.87
iNx382I		0	  0.52	  1.13	  1.71
iDx419I		0	  1.33	  0.97	  0.80
YJL076W	NET1	10	  1.11	  0.61	  0.94
iHx008I		0	  1.15	  0.85	  0.80
YJR159W	SOR1	10	  1.38		  0.74
iNx114I		0	  1.00	  1.50	  1.34
YLR342W	FKS1	12	  1.24	  0.84	  0.48
YMR300C	ADE4	13	  1.10	  1.67	  0.96
iCx062I		3	  1.57	  0.50	  0.57
YJR094C	IME1	10	  1.41	  0.56	  0.96
iMx091I				  2.27	  2.27
YJL077C	ICS3	10	  1.90	  0.68	  0.42
iCx128I		3	  0.81	  1.81	  1.12
YPL183C		16	  1.29		  0.88
iEx311I				  0.85	  1.90
iMx157I		0	  1.13	  0.80	  0.84
iIx234I		0	  1.43	  1.47	  0.35
iOx340I		0	  1.63	  0.74	  0.37
YKR051W		11	  0.58	  0.93	  2.11
YPL249C		16	  1.43	  1.09	  0.88
YGL111W		7	  0.63	  0.56	  1.63
YKL034W		11	  1.02		  1.10
YLR409C		12	  1.51	  0.76	  0.84
iOx406I		0	  1.05	  1.51	  1.21
iDx688I		0	  1.87	  1.20	  0.41
iHx277I		0	  1.59	  0.61	  0.61
iDx354I		0	  1.95	  1.91	  0.67
YAR023C		1	  1.12	  0.67	  0.69
iNx383I		0	  0.32	  0.84	  3.03
iDx020I		0	  0.72		  1.48
YKR052C	MRS4	11	  0.61	  0.54	  1.67
YGL112C	TAF60	7	  0.61	  2.00	  1.79
iHx009I		0	  1.12	  1.05	  0.98
YMR075C-A		13	  0.41	  0.61	  2.33
iNx115I		0	  1.94	  1.03	  0.57
YLR343W		12	  0.60	  1.15	  1.71
YMR301C				  1.09	
iCx063I		3	  1.86	  0.74	  0.69
iMx092I		0	  1.80		  0.49
YJL078C	PRY3	10	  1.95	  0.59	  0.39
iCx129I		0	  1.00		  0.97
YPL184C		16	  0.99		  1.06
iMx158I		0	  0.92	  0.73	  0.75
iIx235I		0	  0.42	  1.07	  2.41
iEx312I		0	  0.63	  1.03	  1.06
iOx341I		0	  1.28	  0.83	  0.63
YKL035W	UGP1	11	  1.32		  0.92
YLR010C		12	  0.82	  0.49	  1.38
iOx407I		0	  0.66	  1.49	  1.61
iDx689I		0	  0.60	  0.84	  1.45
iHx278I		0	  0.90	  1.18	  0.83
iDx355I		0	  0.41	  1.07	  2.24
YAL007C				  1.93	
iNx384I		0	  0.42	  0.91	  1.94
YJR095W	SFC1	10	  0.91		  1.05
iDx021I		0	  0.65		  1.22
YGR130C		7	  1.26	  1.03	  0.61
YKR053C	YSR3	11	  0.71	  1.81	  1.57
iNx050I		0	  0.62	  0.79	  1.79
YKL036C		11	  1.11		  0.70
iNx116I		0	  0.67	  0.83	  1.56
YLR344W	RPL26A	12	  0.92	  0.53	  1.01
YMR302C	PRP12	13	  1.38	  1.06	  0.76
iCx064I		3	  1.63	  0.50	  0.72
iMx093I		0	  1.33	  0.62	  0.80
iIx170I		9	  0.61		  1.98
YJL079C	PRY1	10	  1.64	  1.40	  0.55
iMx159I		0	  1.54	  0.51	  0.74
iIx236I		0	  0.62	  0.95	  1.43
iEx313I		0	  0.65		  1.50
iOx342I		0	  0.84	  1.13	  0.75
YGL113W		7	  0.61	  0.77	  1.50
iOx408I		0	  1.25	  1.25	  0.58
iDx290I		4	  0.89	  0.79	  1.40
iHx279I		0	  1.91		
iDx356I		0	  0.96	  0.82	  1.12
YBR250W		2	  1.15	  0.94	  0.76
iNx385I		0	  0.89	  1.21	  1.17
YJR096W		10	  1.01		  0.89
iDx022I		0	  1.86		  0.37
YKR054C				  1.11	
iNx051I		0	  0.54	  1.24	  1.73
YPL185W		16	  0.89	  0.67	  1.37
iNx117I		0	  1.51	  1.73	  0.52
YLR345W		12	  0.61	  0.87	  2.05
YMR303C	ADH2	13	  1.83	  0.78	  0.54
YLR011W				  1.12	
iPx300I		0	  1.12	  0.81	  0.67
iCx065I		3	  1.33		  0.73
iMx094I		0	  1.36		  0.77
iIx171I		0	  1.48	  1.43	  0.59
YLR280C				  1.78	  0.89
YPL186C		16	  0.93		  1.64
iIx237I		0	  0.96	  0.89	  0.64
iEx314I		0	  1.45	  1.57	  0.68
YAL008W	FUN14	1	  0.70	  0.66	  1.94
YDR500C	RPL37B	4	  0.88	  0.63	  1.24
YLR346C		12	  0.42	  0.97	  3.01
YGR131W		7	  1.08	  0.79	  0.69
iOx343I		15	  0.88		  1.60
YGL114W		7	  1.08		  0.81
YLR012C		12	  0.75	  1.23	  1.51
YKL037W		11	  1.04		  0.71
iOx409I				  0.85	
iDx291I		0	  0.88	  1.71	  1.60
iDx357I		0	  1.96	  1.08	  0.48
YBR251W	MRPS5	2	  1.40	  0.64	  0.67
iNx386I		0	  1.34	  0.78	  0.87
YJR097W		10	  0.76		  1.17
iDx023I		0	  1.68		  0.39
YGR132C	PHB1	7	  1.40	  0.87	  0.60
iNx052I		0	  0.59	  0.68	  1.60
iNx118I		0	  1.35	  0.86	  0.61
iPx301I		0	  0.89	  0.77	  1.12
iCx066I		3	  1.43	  0.52	  0.94
YJR098C		10	  0.90		  0.98
iMx095I		0	  0.91	  0.65	  1.27
iIx172I		0	  1.21	  1.54	  0.58
YLR281C		12	  1.10		  0.78
iIx238I		0	  1.01	  0.86	  0.82
iEx315I		0	  1.01	  1.03	  1.00
YLR347C				  1.35	
YAL009W				  2.02	
iOx344I		0	  0.47	  0.59	  2.16
YKR055W	RHO4	11	  1.27	  1.09	  0.52
YGL115W	SNF4	7	  1.41	  1.14	  0.84
YKL038W	RGT1	11	  1.29	  0.62	  0.63
iOx010I		0	  0.64	  0.41	  1.48
iDx292I		0	  1.41	  0.49	  0.67
YMR304W	UBP15	13	  1.07	  0.67	  0.72
iDx358I		0	  1.78	  0.61	  0.46
YBR252W	DUT1	2	  1.26	  0.66	  0.84
iNx387I		0	  1.12	  0.72	  0.95
iDx024I		0	  0.57		  1.58
iNx053I		0	  1.24	  1.36	  1.96
iJx130I		0	  0.99	  0.74	  1.04
YPL187W	MF(ALPHA)1	16	  0.66	  1.17	  1.51
YDR501W	PLM2	4	  0.81	  1.26	
iNx119I		0	  1.52	  1.49	  0.68
YMR305C	SCW10	13	  0.87	  0.87	  1.09
iPx302I		0	  0.48	  3.09	  1.70
YLR013W	GAT3	12	  0.67	  1.00	  1.37
iCx067I		3	  0.65	  1.30	  1.74
iMx096I		0	  0.88	  1.19	  1.15
iIx173I		0	  0.76	  0.74	  1.42
iEx250I		0	  1.54	  1.89	  0.42
YLR282C		12	  0.82		  1.11
YAR027W		1	  1.06	  0.38	  0.81
iIx239I		0	  0.87	  0.95	  0.96
