INAME	GENE	CHR	SIMR_UP2_184FR	SIMR_UP2_229	SIMR_UP2_231
iOx539I		0	  0.76	  0.75	  1.52
iOx205I		0	  1.27	  0.53	  0.60
iDx487I		0	  0.28		  4.62
iHx076I		0	  0.76	  0.47	  1.31
iDx153I		0	  0.99	  2.27	  0.82
YGR262C		7	  1.05	  0.57	  1.28
iNx182I		0	  0.80	  1.04	  1.33
YKL168C	KKQ8	11	  0.76	  1.10	  1.46
iDx219I		0	  0.95	  2.12	  0.85
YBR113W		2	  1.52	  0.70	  0.52
iNx248I		0	  1.63	  0.91	  0.44
iJx325I		0	  0.88	  1.04	  0.93
YFR036W	CDC26	6	  0.93	  1.11	  1.06
iPx431I		16	  1.08	  0.76	  0.68
YPR065W	ROX1	16	  1.02	  0.66	  0.79
YLR142W	PUT1	12	  1.09	  1.71	  1.06
iCx196I		3	  1.20	  1.93	  1.45
YPL048W	CAM1	16	  1.89	  1.35	  0.68
YLR208W	SEC13	12	  0.87	  1.12	  1.01
YER079W		5	  1.86	  1.49	  0.61
YFR037C	RSC8	6	  1.44	  0.86	  0.87
YLL060C	GTT2	12	  1.73	  0.76	  0.66
iOx474I		15	  1.13		  0.80
iEx111I		5	  0.84	  0.50	  1.16
iIx034I		0	  0.49	  1.31	  1.94
YGL245W		7	  1.26	  1.01	  0.81
YPL049C				  0.98	  0.55
iOx140I		0	  1.22	  0.78	  0.76
YLR209C		12	  0.78	  0.61	  1.62
iOx206I		0	  0.60	  0.92	  1.45
iDx488I		0	  1.40	  1.41	  0.79
YMR100W	MUB1	13	  0.78	  1.72	  1.42
iHx077I		0	  0.72	  0.94	  0.97
iDx154I		0	  0.93	  2.20	  0.89
YGR263C		7	  0.92	  0.91	  1.11
iNx183I		0	  1.47	  1.94	  1.22
iJx260I		0	  0.93		
YKL169C		11	  0.46	  0.68	  2.46
YGL246C	RAI1	7	  0.87	  2.76	  1.13
YBL031W	SHE1	2	  0.54	  1.48	  1.40
YBR114W	RAD16	2	  0.71	  1.18	  1.11
iNx249I		0	  1.25	  1.11	  0.70
iJx326I		0	  1.11	  1.55	  0.61
iPx432I		0	  1.11	  0.66	  0.70
YPR066W	UBA3	16	  0.88	  1.34	  1.27
YLR143W		12	  0.59	  0.79	  2.20
YMR101C	SRT1	13	  0.34	  1.63	  2.40
iCx197I		3	  0.78	  0.91	  1.00
YGL180W	APG1	7	  0.88		  1.56
YBR115C	LYS2	2	  0.59	  1.01	  1.36
iOx475I		0	  0.94	  0.73	  0.99
iIx035I		0	  1.61	  0.52	  0.47
iEx112I		0	  0.88	  1.70	  1.12
YLR144C	ACF2	12	  0.68	  0.39	  1.88
iOx141I		0	  2.07	  0.72	  0.39
YNL310C		14	  1.26	  0.55	  0.78
iOx207I		15	  0.70	  1.43	  1.01
iDx489I		0	  1.45	  1.03	  0.96
iHx078I		0	  0.51	  1.00	  1.45
iDx155I		0	  1.69	  0.71	  0.48
YGR264C	MES1	7	  1.25	  0.74	  0.91
iNx184I		0	  1.26	  0.60	  0.54
iJx261I		0	  0.99	  1.63	  0.72
YBL032W		2	  1.84	  0.72	  0.80
iJx327I		0	  1.41	  1.01	  0.61
YLL061W	MMP1	12	  1.35	  1.08	  0.99
YFR038W		6	  1.20	  1.53	  1.23
iPx433I		16	  1.38	  0.59	  0.66
iLx510I		0	  1.45	  1.93	  0.83
YPR067W	ISA2	16	  0.65	  1.57	  1.82
YMR102C		13	  0.80	  1.07	  1.42
iCx198I		3	  0.83	  1.09	  1.34
YBR050C	REG2	2	  1.47	  1.12	  0.77
YBL033C	RIB1	2	  1.36	  0.63	  0.54
YGL181W	GTS1	7	  1.67	  1.43	  0.49
YFR039C		6	  0.87	  1.13	  1.26
YBR116C		2	  1.53	  0.91	  0.48
YLL062C		12	  1.13	  0.78	  0.94
iOx476I		0	  0.40	  1.82	  2.58
iIx036I		0	  1.21	  1.66	  0.64
iEx113I		0	  1.45	  1.52	  0.52
YPR068C	HOS1	16	  0.61	  1.76	  1.99
YGL247W		7	  0.70	  0.51	  1.64
iOx142I		0	  1.35		  0.50
YNL311C		14	  0.98	  0.59	  1.26
iOx208I		0	  0.79	  1.56	  1.40
iDx090I		0	  1.06	  0.94	  0.91
YGL182C		7	  1.67	  1.27	  0.52
iHx079I		0	  0.80	  0.77	  0.95
iDx156I		0	  0.78	  0.86	  1.16
iNx185I		0	  0.98	  1.26	  1.34
iJx262I		0	  0.90		  1.09
iJx328I		0	  0.35	  0.52	  2.80
iPx434I		0	  1.22	  0.67	  0.63
iLx511I		0	  1.18	  0.81	  0.48
YLR145W		12	  1.14	  1.52	  0.93
YMR103C		13	  1.58	  2.38	  0.70
iCx199I		0	  0.99	  0.89	  1.26
iPx100I		0	  1.16	  0.51	  0.76
YBL034C	STU1	2	  1.15	  0.78	  0.64
YBR117C	TKL2	2	  1.95	  0.57	  0.71
YLL063C	AYT1	12	  0.98	  0.70	  1.12
iOx477I		0	  1.34	  1.52	  0.71
iIx037I		0	  0.44	  1.22	  2.09
iEx114I		0	  1.19	  1.71	  0.78
YGR265W		7	  1.36		  0.51
YPR069C	SPE3	16	  1.24	  0.57	  0.99
YLR146C	SPE4	12	  1.27	  0.56	  0.85
YDR300C	PRO1	4	  0.91	  0.53	  1.19
YGL248W	PDE1	7	  1.12	  0.84	  1.06
iKx220I		11	  0.81	  0.92	  1.10
iOx143I		0	  1.83	  1.08	  0.50
iOx209I		0	  0.99	  0.78	  0.86
YML020W		13	  1.10	  0.53	  0.88
iDx091I		0	  0.96	  0.69	  1.31
YGL183C		7	  1.61	  1.87	  0.63
iDx157I		0	  0.58	  1.83	  1.58
YBR051W		2	  1.10		  0.70
iNx186I		0	  0.47	  4.40	  2.16
iJx263I		0	  1.42		  0.58
YLR080W		12	  0.64	  1.16	  1.65
iJx329I		0	  1.26	  0.63	  0.59
YML021C	UNG1	13	  1.05	  1.02	
iPx435I		0	  0.91	  2.64	  1.38
iLx512I		0	  1.51	  1.53	  0.86
YMR104C	YPK2	13	  1.38	  0.82	  0.66
iPx101I		0	  0.66	  0.51	  1.49
YNL312W	RFA2	14	  0.92	  2.60	  1.24
YBR052C		2	  1.36	  0.62	  0.72
YBL035C	POL12	2	  0.76	  0.38	  1.06
YLL064C		12	  1.18	  0.69	  1.52
iOx478I		0	  0.59	  0.36	  1.61
iIx038I		0	  0.53		  1.91
iEx115I		0	  1.33	  1.04	  0.60
YGR266W		7	  1.07	  1.52	  0.91
YLR147C	SMD3	12	  1.56	  1.89	  0.66
YGL249W	ZIP2	7	  1.24	  1.15	  0.90
iOx144I		0	  1.08	  1.53	  0.72
iKx221I		0	  1.14	  1.59	  0.99
YNL313C		14	  1.05		  1.08
iDx092I		0	  1.21	  1.79	  0.71
YGL184C		7	  1.31	  0.78	  0.90
iDx158I		0	  0.49	  1.22	  1.83
YGR267C	FOL2	7	  0.90	  0.91	  1.07
iNx187I		0	  0.40	  1.17	  2.48
iJx264I		0	  0.63		  1.25
YCR010C		3	  0.75	  1.02	  1.67
iPx370I		0	  0.66	  0.47	  1.41
YLR081W	GAL2	12	  0.85	  1.53	  1.27
YBR118W	TEF2	2	  1.05	  0.80	  0.84
YDR301W				  1.05	
iPx436I		0	  1.29	  1.44	  0.71
iLx513I		0	  1.23	  1.26	  0.48
YMR105C	PGM2	13	  1.56	  1.23	  0.74
iPx102I		0	  0.59	  0.92	  1.52
YBR053C		2	  1.30	  1.04	  0.52
iEx050I		0	  0.61	  2.00	  1.63
YBL036C		2	  0.45	  0.51	  2.02
YLR082C	SRL2	12	  0.76	  0.59	  1.35
iOx479I		0	  1.28	  0.87	  0.80
iIx039I		0	  0.85	  1.21	  1.18
iEx116I		0	  1.45	  1.03	  0.72
iOx145I		15	  1.21	  0.69	  0.77
iKx222I		0	  0.33	  0.72	  3.10
YML022W	APT1	13	  1.11	  1.47	  0.88
iDx093I		0	  0.78	  0.58	  1.41
YGL185C		7	  1.66	  0.44	  0.61
iDx159I		0	  0.98	  1.21	  0.82
YGR268C		7	  1.88	  0.50	  0.52
iNx188I		0	  1.58	  0.87	  0.44
iJx265I		0	  1.65	  3.18	  0.44
YCR011C	ADP1	3	  1.24	  1.79	  0.99
iPx371I		0	  0.88	  0.65	  0.91
YBR119W	MUD1	2	  0.38	  0.75	  2.31
YLL065W	GIN11	12	  1.11	  0.65	  1.69
YML023C		13	  1.06	  0.68	  0.80
YDR302W		4	  0.46	  0.69	  2.74
iPx437I		0	  0.78	  2.00	  1.03
iLx514I		0	  3.05	  0.98	  0.45
YLR148W	PEP3	12	  0.98	  0.84	  1.40
YFR031C-A	RPL2A	6	  0.86	  0.59	  0.97
YMR106C	YKU80	13	  1.79	  0.62	  0.53
iPx103I		0	  0.74	  0.50	  1.20
YNL314W	DAL82	14	  0.74	  1.34	  1.51
iEx051I		0	  1.15		  0.73
YLR083C	EMP70	12	  1.21	  1.57	  0.80
YHR160C	PEX18	8	  0.90	  0.78	  1.37
iOx080I				  0.99	  0.78
YLL066C		12	  1.70	  0.47	  0.87
YDL220C	CDC13	4	  1.10	  1.42	  0.67
iEx117I		0	  1.06	  1.08	  0.89
YLR149C		12	  0.83	  1.08	  1.46
YDR303C		4	  0.81	  1.00	  1.39
iOx146I		0	  1.18	  1.29	  0.81
iKx223I		0	  0.57	  0.64	  2.26
iGx300I		0	  0.73	  0.78	  1.53
YNL315C	ATP11	14	  0.85		  1.45
YMR040W		13	  0.94	  1.06	  0.95
YIL100W		9	  1.18	  0.44	  0.63
YGL186C		7	  1.44	  2.32	  0.65
YBR054W	YRO2	2	  0.97	  1.85	  1.05
iNx189I		0	  0.56	  1.72	  1.55
iJx266I		0	  0.70	  1.74	  0.49
iBx420I		0	  0.64	  0.70	  1.68
YBL037W	APL3	2	  0.55	  1.56	  1.22
iPx372I		0	  1.30	  1.03	  0.78
YMR041C		13	  1.44	  0.57	  0.87
YIL101C	XBP1	9	  0.94	  0.72	  0.91
iPx438I		0	  1.06	  0.93	  0.83
iLx515I		0	  0.74	  1.55	  1.28
iPx104I		0	  1.11	  0.71	  0.69
YBR055C				  0.73	
iEx052I		0	  2.09		  0.43
YLR084C	RAX2	12	  1.07	  0.53	  0.67
YHR161C	YAP1801	8	  1.01	  1.13	
iOx081I		0	  1.22	  0.70	  0.79
YLL067C		12	  1.55	  1.60	  0.83
iEx118I		0	  1.06	  0.73	  0.82
YGR269W		7	  1.69		  0.50
YDR304C	CYP5	4	  1.52	  0.77	  0.63
YCR012W	PGK1	3	  1.00	  1.81	  1.18
iOx147I		0	  0.66	  1.67	  1.57
iKx224I		0	  1.47	  1.78	  0.71
iGx301I		0	  0.89	  1.03	  1.02
YNL316C	PHA2	14	  0.54	  0.57	  1.42
YML024W	RPS17A	13	  1.07	  1.15	  0.86
iDx095I		0	  1.68	  1.29	  0.54
YMR107W		13	  2.11	  0.97	  0.43
YGL187C	COX4	7	  1.30	  0.72	  0.54
iJx267I		0	  0.64	  0.59	  1.74
iBx421I		0	  1.01	  0.77	  0.99
YCR013C		3	  0.74	  0.57	  1.32
YBL038W	MRPL16	2	  1.44	  1.03	  0.53
iLx450I		12	  1.80	  0.57	  0.48
iPx373I		0	  1.24	  1.30	  0.77
iFx010I		0	  0.79	  1.07	  1.43
YDL221W		4	  1.29	  0.89	  0.82
YML025C		13	  2.77	  1.60	  0.37
YIL102C		9	  0.89		  1.02
iPx439I		0	  0.59	  1.09	  1.31
iLx516I		0	  0.64	  0.61	  1.36
YNL250W	RAD50	14	  1.00	  1.30	  0.98
iPx105I		16	  0.93	  0.80	  1.07
iAx130I		0	  1.14	  0.91	  0.89
iGx570I				  0.38	  0.82
iEx053I		0	  1.21	  0.55	  0.56
YBL039C	URA7	2	  1.08	  1.21	  0.72
YLR085C	ARP6	12	  2.18	  1.32	  0.38
iOx082I		0	  1.16	  0.63	  0.79
YDL222C		4	  1.25	  1.78	  0.76
iEx119I		0	  1.42	  0.87	  0.58
YDR305C	HNT2	4	  1.20		  0.60
YNL251C	NRD1	14	  1.01	  1.29	  0.62
iOx148I		0	  0.62	  1.29	  1.63
iKx225I		0	  2.03	  0.66	  0.44
iGx302I		0	  0.81	  1.35	  0.95
YMR042W	ARG80	13	  1.81	  0.83	  0.62
iDx096I		0	  1.87		  0.57
YMR108W	ILV2	13	  1.41	  0.56	  0.56
YGL188C		7	  1.41	  0.83	  0.51
YBR056W		2	  0.82	  0.60	  1.06
iJx268I		0	  2.00		  0.61
iBx422I		0	  0.85	  1.48	  1.05
YCR014C	POL4	3	  0.71	  0.64	  1.87
iPx374I		0	  0.96	  0.82	  1.15
iLx451I		0	  2.04	  1.29	  0.28
iFx011I		0	  0.76	  1.25	  1.67
YHR162W		8	  0.67	  1.66	  1.05
iPx040I		0	  1.28	  2.08	  0.57
YML026C	RPS18B	13	  0.80	  1.30	  1.32
iLx517I		0	  0.45	  0.97	  1.60
iPx106I		0	  0.87	  0.81	  1.08
YNL317W	PFS2	14	  0.63	  0.69	  1.67
YBR057C	MUM2	2	  0.66	  0.73	  1.58
iGx571I				  0.97	  0.57
iEx054I		0	  1.30		  0.72
iAx131I		0	  1.36	  0.79	  0.81
YDR240C	SNU56	4	  1.97	  1.13	  0.63
iOx083I		0	  0.99	  2.14	  1.06
iKx160I		0	  0.72		  1.38
YDL223C		4	  1.16	  0.84	  0.84
YDR306C		4	  1.57	  0.82	  0.75
YNL252C	MRPL17	14	  0.84	  0.39	  1.25
iOx149I				  0.73	  1.90
iKx226I		0	  1.17	  1.13	  0.82
iGx303I		0	  0.73	  1.29	  1.22
YMR172C-A		13	  1.43	  0.67	  0.55
YAL034W-A	MTW1	1	  0.57	  0.59	  3.27
YMR043W				  1.64	
YNL318C	HXT14	14	  0.86	  0.58	  1.71
YNR001C	CIT1	14	  0.65	  1.04	  1.04
YIL103W		9	  1.47	  0.82	  0.60
iDx097I		0	  1.00	  0.96	  1.18
YMR109W	MYO5	13	  0.79	  0.74	  1.31
