NAME	GENE	CHR	ya1s4p2_106	ya1s4p2_0114FR	ya1s4p2_0108FR	ya1s4p2_0110
YOR324C			1.65	0.62	0.68	1.5
YNR032W	PPG1		1.62	0.64	0.68	1.47
YNL015W	PBI2		2.42	0.49	0.5	2.12
YAR052C			0.07	16.21	15.66	0.08
YKR081C			0.78	1.48	1.18	
YDR338C			0.94	0.97	0.88	0.97
YNL284C	MRPL10		1.51	0.66	0.64	1.64
YMR075W			1.17	0.8	0.88	1.05
YLR372W	SUR4		0.43	2.49	2.36	0.52
YML058W	SML1		5.11	0.28	0.33	3.98
YLR438W	CAR2		0.51	2.08	2.8	0.38
YLL021W	SPA2		0.84	1.15	1.05	0.96
YLR104W			0.94	1.51	1.53	0.84
YBR089W			0.72	1.2	1.16	0.75
YCR047C			0.68	1.21	1.26	0.79
YIL070C	MAM33		1.81	0.61	0.66	1.65
YHR195W	VAB36		0.58	1.81	1.71	0.52
YDR272W	GLO2		1.74	0.53	0.53	1.72
YMR076C	PDS5		1.19	0.85	0.78	
YLR373C			1.01	1.08	0.98	0.97
YAL035W	FUN12		0.59	1.93	1.8	0.67
YPL279C			1.08	0.74	0.76	1.16
YML059C			1.17	0.96	0.93	1.19
YGL141W			1.26	0.66	0.97	
YKL064W	MNR2		0.97	1.22	1.04	1.02
YLL022C	HIF1		0.87	1.08	1.03	0.98
YDR004W	RAD57		0.96	0.67		1.31
YGR224W			0.69	1.47	1.39	0.68
YLR105C	SEN2		0.6	1.84	1.8	0.6
YGL207W	SPT16		0.79	1.46	1.36	0.87
YJR110W			1.01	0.93	1.07	0.95
YNR033W	ABZ1		0.72	1.22	1.08	0.84
YDL190C	UFD2		1.14	0.8	0.92	1.16
YNL016W	PUB1		0.78	1.58	1.16	0.54
YAL036C	FUN11		0.43	2.66	2.62	0.48
YDR339C			1.14	0.93	0.91	1.3
YKL065C	YET1		2.33	0.59	0.5	2.61
YGL142C	GPI10		0.87	1.17	1.07	0.93
YDR005C	MAF1		1.55	0.64	0.55	1.87
YBR010W	HHT1		1.71	1.22	1.38	1.45
YJR111C			1.15	0.99	1.04	0.97
YIL136W	OM45		7.76	0.14	0.16	7.1
YNL017C			0.58	1.21	1.29	0.63
YLR439W	MRPL4		0.82	1.37	1.62	0.71
YPR028W	YIP2		0.92	1.22	1.17	1.01
YOR325W			0.91	1.54	1.3	0.71
YIL071C			0.83	0.85	0.86	0.97
YAR053W			2.81	0.32	0.36	2.61
YHR196W			0.91	1.03	1.05	1.01
YDR273W			1.13	0.68	0.89	1.03
YMR077C			1.59	0.63	0.74	1.41
YBR011C	IPP1		1.02	1.36	1.23	1.09
YKR082W	NUP133		0.72	1.63	1.45	0.73
YIL137C			0.75	1.47	1.59	0.69
YLR040C			3.67	0.21	0.19	5.19
YNL285W			2.41	0.28	0.33	2.64
YLL023C			0.75	1.25	1.23	0.86
YGR225W	SPO70		1.67	0.48	0.55	1.6
YGL208W	SIP2		1.15	0.82	0.84	0.92
YLR106C			0.6	1.38	1.29	0.85
YNR034W	SOL1		0.52	1.63	1.69	0.55
YDR274C			1.32	0.41	0.38	1.96
YPL200W			0.81	0.92	0.88	1.1
YKR083C			1.28	0.7	0.72	1.34
YGL143C	MRF1		1.17	0.9	0.78	1.16
YCR048W	ARE1		0.85	1.51	1.92	0.44
YDR006C				0.98		0.66
YGR226C			1.09	0.66	0.82	0.96
YNR035C	ARC35		1.44	0.73	0.81	1.39
YOR260W	GCD1		0.49	2.15	1.84	0.5
YNL018C			0.77	1.23	1.33	0.75
YPL201C			1.15	0.83	0.71	1.32
YBR280C			1.22	0.8	0.76	1.12
YOR326W	MYO2		0.62			
YDL191W	RPL35A		0.61	2.41	2.31	0.56
YCR049C				1.23	1.6	0.48
YHR197W			1.2	1	0.96	1.11
YBR012C				8.45	11.46	
YMR078C	CTF18		1.29	0.58	0.89	0.66
YAL037W			0.95	0.92	0.97	0.81
YGR160W			0.4	2.81	1.94	0.56
YIL138C	TPM2		1.94	0.6	0.62	1.75
YOR261C				1.1		
YNL286W	CUS2		1.24	0.83	0.8	1.1
YKL066W			2.26	0.52	0.58	1.98
YLL024C	SSA2		0.56	2.5	2.19	0.67
YOR327C	SNC2		0.99	0.98	0.96	
YGL209W	MIG2		1.52	0.5	1.17	0.58
YJR112W	NNF1		1.47	0.63	0.69	1.3
YHR198C			2.31	0.49	0.48	2.34
YGR161C			1.85	0.56	0.51	1.98
YKR084C	HBS1		0.84	1.1	1.01	1
YGL144C			0.8	1.08	1.14	0.67
YIL072W	HOP1		1.34	0.76	0.73	1.17
YLR375W	STP3		0.84	0.7	0.78	0.95
YNR036C			1.49	0.78	0.88	1.44
YJR113C			1.69	0.73	0.85	1.54
YNL019C			0.52	1.35	1.64	0.49
YLR041W			2.85	0.32	0.32	2.3
YPL202C			0.86	1.18	1.08	0.88
YBR281C			0.71	1.48	1.44	0.77
YLR107W			1.7	0.6	0.66	1.74
YDL192W	ARF1		1.01	1.52	1.4	1.02
YIL073C	SPO22		0.95	1.05	1.01	1.09
YDR275W			2.62	0.37	0.49	2.24
YBR013C				1.82	3.41	
YAL038W	CDC19		0.89	2.31	1.92	0.88
YDR530C	APA2		1.25	0.64	0.81	0.84
YLR376C			1.21	0.67	0.85	0.95
YIL139C	REV7		0.9	1.14	1.17	0.8
YLR042C			2.64	0.26	0.26	3.13
YNL287W	SEC21		0.59	2.04	1.63	0.72
YKL067W	YNK1		3.03	0.41	0.41	3.13
YDR007W	TRP1		2.54	0.48	0.56	1.99
YGR227W	DIE2		0.94	0.96	0.96	0.92
YJL030W	MAD2		1.99	0.62	0.62	1.82
YLR108C			1.87	0.47	0.48	2.08
YDR276C			1.84	0.54	0.48	2.11
YHR199C			1.3	0.61	0.53	1.61
YAL039C	CYC3		1.04	1.01	1.2	0.75
YKR085C	MRPL20		0.92	1.17	1.24	1.03
YDR008C			5.07	0.2	0.25	4.33
YJL031C	BET4		1.07	0.73	0.78	1.14
YMR079W	SEC14		0.51	2.04	1.95	0.49
YNR037C			1.21	1.02	1.06	1.13
YOR262W			0.66	1.31	1.08	0.82
YLL025W			1.4	0.77	0.94	1.07
YOR328W	PDR10		1.18	0.88	0.78	1.01
YDL193W			0.77	1.37	1.34	0.81
YIL074C	SER33		0.3	3.81	3.85	0.29
YBR014C			1.7	0.6	0.62	1.71
YLR377C	FBP1		0.42	2.1	1.95	0.43
YGR162W	TIF4631		0.93	3.01	2.2	0.5
YOR263C			0.48	1.9	1.38	0.45
YGL145W	TIP20		1.04	0.88	0.69	1.13
YLR043C	TRX1		1.28	1.08	1.08	1.26
YNL288W			0.72	1.59	1.58	0.62
YKL068W	NUP100		0.62	1.77	1.52	0.61
YGR228W			1.32	0.93	0.96	1.11
YOR329C	SCD5		0.98	0.98	1.07	0.87
YJR114W			1.52	0.54	0.7	1.45
YDR277C	MTH1		0.83	1.19	0.82	0.98
YPL203W	PKA3		1.02	1.33	1.23	0.86
YBR282W	MRPL27		1.25	0.76	0.81	1.29
YGL146C			1.11	0.7	0.6	1.4
YGR229C	SMI1		1.21	0.8	1.04	0.9
YDR531W			0.67	1.6	1.36	0.7
YHR120W	MSH1		0.88	1.16	0.86	1.28
YMR001C	CDC5		1.35	0.76	0.71	1.46
YLL026W	HSP104		4.09	0.24	0.3	3.18
YBR283C	SSH1		0.57	1.95	2.05	0.6
YLR109W	AHP1		0.5	3.22	3.28	0.47
YDL194W	SNF3		0.72	1.11	0.98	0.91
YIL075C	RPN2		0.8	1.26	1.02	0.98
YGL080W			0.7	1.47	1.52	0.73
YBR015C	MNN2		0.83	1.18	0.93	1.14
YDR532C			1	1.11	1.06	0.99
YLR378C	SEC61		0.61	1.99	1.86	0.58
YGR163W	GTR2		1.03	1	0.96	1.07
YKR086W	PRP16		1.44	0.71	0.65	1.57
YLR044C	PDC1		0.58	2.38	1.7	0.79
YNL289W	PCL1		1.34	0.85	1.08	0.81
YKL069W			1.54	0.72	0.66	1.56
YDR009W				0.08	0.06	18.32
YJL032W			1.27	0.78	0.79	1.04
YNR038W	DBP6		0.65	1.73	1.44	0.79
YJR115W			0.88	1.29	1.18	0.61
YDR278C			0.77			1.06
YPL204W	HRR25		1.29	0.91	0.91	1.28
YKR087C			0.94	1.18	1	1.03
YGL147C	RPL9A		0.45	3.24	3.01	0.36
YMR270C	RRN9		1.15	0.9	0.88	1.2
YNR039C			0.82	1.18	1.06	0.95
YHR121W			1.24	0.96	0.75	1.38
YOR264W			0.59	1.84	2.08	0.56
YLL027W	ISA1		1.28	0.73	0.76	1.15
YPL205C			1.08	0.87	0.88	1.39
YNL210W	MER1		0.81	0.83	0.89	0.84
YDL195W	SEC31		0.59	1.91	1.99	0.56
YGL081W			1.51	0.65	0.8	0.8
YDR533C			13.7	0.1	0.15	10.22
YGR164W			0.86	1.34	1.5	0.92
YLR045C	STU2		1.26	0.84	0.83	1.29
YJR050W	ISY1		1.19	0.69	0.7	1.47
YJL033W	HCA4		0.44	2.41	1.71	0.62
YNL211C			1.52	0.71	0.82	1.31
YJR116W			0.94	1.08	1.17	0.81
YMR002W			2.38	0.64	0.65	2.07
YBR284W			1.08	0.9	0.89	1.09
YKR088C			1.06	0.87	0.84	1.35
YER170W	ADK2		1.73	0.49		1.84
YMR271C	URA10		1.62	0.85	0.97	0.96
YFL013W-A			0.8			1
YIL076W	SEC28		1.13	0.84	0.83	1.11
YBR016W			0.68	1.64	1.55	0.66
YLR379W			0.47	1.89	1.83	0.48
YPL140C				0.94	0.94	1.17
YHR122W			3.43	0.3	0.27	4.05
YOR265W	RBL2		1.27	0.74	0.77	1.27
YLL028W	TPO1		0.92	1.09	1.29	0.67
YPL206C			1.5	0.72	0.73	1.44
YDL196W			0.75	0.88	0.93	0.85
YIL077C			0.92	0.96	1.17	0.87
YDR279W			1.36	0.64	0.59	1.61
YGL082W			1.35	0.7	0.69	1.5
YBR017C	KAP104		0.61	1.88	1.49	0.67
YDR534C			0.83	1.19	1.22	0.69
YHL040C	ARN1		0.51	1.81	1.42	0.69
YGR165W			1.08	1.11	1.04	1.08
YLR046C			0.22	6	5.1	0.22
YDR200C			1.32	0.81	0.84	1.15
YGL148W	ARO2		0.56	2.38	2.39	0.57
YJR051W	OSM1		0.67	1.66	1.4	0.91
YJL034W	KAR2		0.67	1.81	1.51	0.79
YJR117W	STE24		0.74	1.51	1.14	1.06
YDL197C	ASF2		1.26	0.74	0.85	1.07
YMR003W			1.71	0.56	0.59	1.75
YLR300W	EXG1		1.06	1.02	1.13	1.17
YBR285W			2.46	0.41	0.45	2.12
YKR089C			1.06	0.78	0.79	1.21
YER171W	RAD3		0.87	1.1	1.11	0.97
YMR272C	SCS7		0.7	1.77	1.61	0.73
YJL035C	TAD2		0.79	1.33	1.4	0.66
YJR118C	ILM1		0.8	1.38	1.17	0.94
YPL141C			2.49	0.38	0.4	2.56
YOR266W	PNT1		1.46	0.55	0.55	1.62
YHR123W	EPT1		1.23	0.85	0.9	1.48
YLL029W			0.76	1.29	1.26	0.72
YNL212W			1.46	0.55	0.61	1.68
YER172C	BRR2		1.83	0.58	0.48	1.67
YGL083W	SCY1		0.6	1.85	1.63	0.64
YDR535C			0.81	0.87	0.83	0.83
YGR166W	KRE11		0.99	1.07	1.15	1.05
YOR267C			0.4	2.23	2.39	0.38
YLR047C			0.7	1.86	1.87	0.46
YGL149W			0.72	1.27	1.31	0.61
YJR052W	RAD7		1.02	0.76	0.73	1.3
YKR010C	TOF2		1.31	0.69	0.74	1.04
YNL213C			1.15	0.85	0.97	0.99
YDL198C	YHM1		0.99	0.95	0.99	1.24
YMR004W	MVP1		1.34	0.67	0.71	1.47
YLR301W			0.86	1.46	1.67	0.68
YGL084C			0.74	1.38	1.24	1.04
YPL207W			0.71	1.37	1.26	0.88
YBR286W	APE3		0.48	2.75	2.3	0.52
YMR273C	ZDS1		0.4	2.31	2.05	0.29
YIL078W	THS1		0.46	2.72	2.18	0.61
YHL041W						0.72
YJR119C			1.57	0.68	0.57	1.91
YPL142C			0.8	1.64	2.14	0.61
YDR201W	SPC19		0.76	1.14	1.29	0.82
YHR124W	NDT80		0.73	1.55	1.47	0.8
YLR302C			2.11	0.54	0.4	2.14
YDR470C			1.15	0.83	0.99	1.04
YIL079C			0.52	1.52	1.59	0.53
YBR019C				0.01	0.01	169.81
YGR167W	CLC1		0.79	1.42	1.35	0.76
YOR268C				1	1.02	0.7
YDR202C			1.67	0.56	0.64	1.87
YJR053W	BFA1		0.87	1.09	1.06	0.94
YJL036W	SNX4		1.41	0.77	0.72	1.3
YKR011C			1.57	0.61	0.69	1.62
YDL199C			1.44	0.67	0.68	1.29
YMR005W	MPT1		1.23	0.94	0.84	1.2
YPL208W			0.62	1.67	1.62	0.63
YBR287W			1.44	0.71	0.74	1.4
YGR168C			1.54	0.79	0.85	1.39
YER173W	RAD24		1.04	0.9	0.93	1
YDR536W	STL1		1.32	0.56	0.67	1.14
YHL042W			0.65	1.23	1.29	0.67
YHR125W			0.35	2.71	2.54	0.4
YLR048W	RPS0B		0.46	3.34	2.72	0.54
YMR006C	PLB2		0.35	3.23		0.46
YPL209C	IPL1		0.83		0.74	1.11
YBR288C	APM3		0.92	1.09	1.13	0.84
YNL214W	PEX17		0.89	0.94	0.89	1.04
YER174C	GRX4		1.74	0.68	0.7	1.46
YDR537C			2.1	0.44	0.44	2.21
YGL085W			1.29	0.81	0.8	1.35
YLR049C			0.95	1.22	1.32	0.78
YJR054W			1.04	0.93	0.95	0.89
YKR012C			1.3		0.69	1.47
YJL037W			2.55	0.39	0.38	2.26
YPR160W	GPH1		1.06	0.99	0.91	0.73
YPL143W	RPL33A		0.33	3.39	3.54	0.26
YLR303W	MET17		2.89	0.43	0.4	3.23
YGR169C			0.78	1.08	1.1	0.89
YDR471W	RPL27B		0.54	2.36	2.04	0.6
YMR275C	BUL1		1.1	1.3	1.25	0.83
YHR060W	VMA22		0.79	0.99	1.13	0.76
YJL038C			2.83	0.35	0.41	1.82
YPR161C	SGV1		1.02	1.19	1.08	1.13
YDL120W	YFH1		1.81	0.49	0.56	1.75
YHL043W	ECM34		0.71	1.23	1.28	0.6
YDR203W			1.59	0.57	0.58	1.68
YOR269W	PAC1		0.54	1.86	1.81	0.47
YLR304C	ACO1		2.57	0.55	0.44	3.23
YNL215W			1.53	0.69	0.71	1.62
YER175C			2.02	0.42	0.48	2.27
YHR061C	GIC1		0.94	0.87	0.79	0.97
YGL086W	MAD1		1	1.05	0.92	1.01
YDL121C			0.88	1.26	1.18	0.92
YER087C-A	SBH1		0.73	1.47	1.5	0.73
YJR055W	HIT1		1.05	1.03	1.02	0.93
YIL001W			0.7	1.38	1.39	0.72
YPL144W	SNR17B		1.06	1.08	1.06	0.99
YMR007W			0.95	1.18	1.38	0.77
YGL087C	MMS2		1.37	1.03	1.13	1.01
YBR289W	SNF5		1.18	0.93	0.74	1
YFL050C	ALR2		0.39	2.49	2.06	0.41
YDR472W	TRS31		0.89	1.22	1.23	0.86
YJR056C			1.26			1.28
YJL039C	NUP192		0.78	1.34	1.18	0.93
YHL044W						1.71
YPR162C	ORC4		1.03	0.89	0.8	1.11
YDR538W	PAD1		2.25	0.45	0.42	2.53
YPL145C	KES1		0.44	2.27	2	0.54
YDR204W	COQ4		1.55	0.7	0.79	1.38
YIL002C	INP51		0.72	1.28	1.3	0.78
YHR127W	HSN1		1.21	0.73	0.75	1.25
YNL150W			0.91	1.23	1.36	0.87
YMR008C	PLB1		2.01	0.58	0.65	1.72
YLR305C	STT4		1.3	1.11	0.77	0.98
YKR013W	PRY2		1.3	0.79	0.85	1.26
YNL216W	RAP1		0.61	1.56	1.36	0.74
YDR473C	PRP3		1.18	0.74	0.71	1.29
YHR062C	RPP1		1.25	0.75	0.81	1.27
YNL151C	RPC31		0.75	1.31	1.38	0.78
YBR210W			1.04	1.02	1.18	0.98
YMR276W	DSK2		0.71	1.37	1.72	0.57
YKR014C	YPT52		1.52	0.64	0.55	1.67
YFL051C			0.42	1.96	2.33	0.33
YER176W	ECM32		0.81	1.2	1.3	0.74
YBR211C	AME1		1.21	0.92	0.91	1.15
YPL080C			1.51	0.73	0.88	1.08
YPR163C	TIF3		0.8	1.37	1.2	1.03
YDL122W	UBP1		0.77	1.37	1.1	0.83
YDR539W			2.02	0.46	0.39	2.43
YHL045W			0.83	0.8	0.85	0.73
YIR020C			0.84	0.95	0.95	0.79
YPL146C			0.83	1.24	1.09	0.88
YDR205W			0.69	1.74	1.85	0.66
YHR128W	FUR1		1.22	0.77	1.02	0.92
YNL217W			0.73	1.6	2.02	0.62
YDR474C			1.19	1.02	1.06	1.02
YHR063C			0.93	1.13	1.15	0.93
YGL088W			0.9	1.59	3.09	0.38
YHL046C			1.5	0.76	0.9	1.09
YHR129C	ARP1		1.18	0.89	0.94	0.98
YMR277W	FCP1		0.98	0.96	1.17	0.79
YJR057W	CDC8		0.8	1.5	1.69	0.78
YKR015C			1.34	0.67	0.75	1.41
YLR240W	VPS34		1.02	0.85	0.73	1.22
YMR316C-A			0.99	1.02	1.03	0.94
YIL003W			0.74	1.29	1.27	0.76
YMR316C-B			1.06	0.72	0.71	1.25
YMR009W			1.55	0.67	0.68	1.57
YLR306W	UBC12		1.4	0.67	0.72	1.36
YGL089C	MF(ALPHA)2		1.04	0.91	0.92	0.97
YER177W	BMH1		0.96	1.45	1.63	0.89
YJR058C	APS2		1	1.1	1.12	0.98
YDR140W			1.06	1.01	1.02	1.13
YDL123W			0.79	1.09	1.17	0.68
YDR206W	EBS1		0.93	1.17	1.14	0.95
YIL004C	BET1		1.41	0.89	0.93	1.3
YNL152W			1.09	0.93	0.91	1.01
YJR094W-A	RPL43B		0.55	2.71	3.1	0.29
YNL218W			0.78	0.97	0.92	0.89
YDR475C			1.12	0.68	0.8	0.85
YML013C-A			0.91	1.04	1.22	0.79
YDR141C	DOP1		0.72	1.25	1.23	0.83
YHR064C	PDR13		1.07	0.68	0.75	0.92
YHL047C			0.28	3.37	3.12	0.33
YFL052W			0.32	2.27	2.04	0.41
YDR207C	UME6		0.85	1.32	1.21	0.84
YNL153C	GIM3		0.89	1.17	1.29	0.88
YBR212W	NGR1		1.23	0.86	0.69	1.44
YMR278W			1.89	0.48	0.39	2.56
YPL081W	RPS9A		0.52	2.05	2.02	0.46
YIR021W	MRS1		0.78	1.19	1.16	0.8
YPR164W	KIM3		1.46	0.62	0.73	1.54
YNL219C	ALG9		0.66	1.42	1.29	0.86
YLR241W			1.06	1.08	0.92	1.24
YPL147W	PXA1		1.16	0.97	0.97	1.1
YOL110W	SHR5		1.29	0.71	0.97	1.02
YLR307W	CDA1		2.3	0.34	0.35	1.75
YER178W	PDA1		1.14	1.15	0.9	1.34
YMR279C			1.53	0.51	0.96	
YPL082C	MOT1		0.79	1.27	1.32	0.85
YDL124W			34.73	0.04	0.04	34.65
YLR242C	ARV1		0.64	1.42	1.38	0.68
YPL148C	PPT2		1.19	0.88	0.95	1.21
YGL010W			1.28	0.79	0.95	1.32
YOL111C			1.12	1	1.23	0.89
YKR016W			1.9	0.56	0.44	2.44
YDR476C			1.16	0.76	0.94	1.06
YDR142C	PEX7		1.12	0.73	0.69	1.23
YHR065C	RRP3		0.87		1.2	0.87
YDL125C	HNT1		0.97	1.06	1.11	0.88
YFL053W	DAK2		0.83	0.92	0.89	0.8
YNL154C	YCK2		0.64	1.61	1.34	0.74
YBR213W	MET8		0.47	2.21	3.62	0.28
YGL011C	SCL1		1.51	0.85	0.84	1.57
YJR059W	PTK2		0.93	1.15	1.2	0.98
YKR017C			0.74			0.87
YIR022W	SEC11		1.12	0.88	0.85	1.07
YPR165W	RHO1		1.46	0.99	0.96	1.51
YIL005W			0.9	1.34	1.13	1.02
YLR308W	CDA2		0.78	0.96		1.01
YFL054C			2.08	0.43	0.43	2.15
YER179W	DMC1		1.37	0.52	0.66	1.1
YPL083C	SEN54		0.96	1	1.04	1.07
YPR166C	MRP2		1.36	0.93	0.91	1.54
YHL048W	COS8		3.71	0.28	0.3	3.47
YDR208W	MSS4		1.07	1.03	0.96	1.07
YLR309C	IMH1		0.86	0.92	0.91	1.01
YMR200W	ROT1		1.64	0.67	0.59	1.67
YER019C-A	SBH2		1	1.7	1.7	0.93
YDR143C	SAN1		0.76	1.18	1.28	0.7
YDL126C	CDC48		0.89	1.54	1.21	1.12
YHL049C			1.72	0.59	0.6	1.87
YDR209C			1.16	0.61	0.94	1.33
YBR214W	SDS24		1.2	0.95	1.12	0.86
YKR018C			1.63	0.55	0.51	1.65
YER100W	UBC6		1.22	0.91	0.97	1.12
YIR023W	DAL81		0.63	1.76	1.58	0.49
YLR243W			0.98	1.08	1.07	0.94
YMR201C	RAD14		1.42	0.71	0.74	1.36
YIL006W			2.18	0.39	0.43	1.92
YPL149W	APG5		0.7	1.13	1.12	0.79
YOL112W	MSB4		1.37	0.69	0.65	1.46
YDL060W			1.05	1.03	0.95	1.13
YDR477W	SNF1		0.69	1.42	1.28	0.61
YHR066W	SSF1		0.81	0.97	0.94	0.83
YPR167C	MET16		3.62	0.31	0.3	3.23
YER101C	AST2		1.46	0.6	0.65	1.36
YIR024C	GIF1		1.3	0.65	0.71	1.34
YLR244C	MAP1		0.34	3.02	2.68	
YIL007C			1.34	0.88	0.92	1.22
YOR130C	ORT1		1.14	0.9	0.98	0.96
YGL012W	ERG4		0.9	1.32	1.2	1.15
YNL155W			1.83	0.59	0.65	1.64
YDL061C	RPS29B		0.62	2.26	2	0.57
YDR144C	MKC7		0.78	1.06	1.03	0.89
YFL055W	AGP3		0.69	1.02	0.97	0.75
YGR030C	POP6		1.32	0.74	0.68	1.36
YNL156C			0.97	1	0.97	1.25
YBR215W	HPC2		1.04	0.93	0.81	1.14
YGL013C	PDR1		0.63	1.58	1.27	0.85
YPL084W	BRO1		0.91	1.02	1.06	0.89
YKR019C	IRS4		1.07	0.79	0.81	1.12
YOL113W	SKM1		1.29	0.77	0.7	1.44
YBR150C	TBS1		0.68	1.37	1.17	0.77
YFL056C	AAD6		8.17	0.14	0.16	8.17
YDR478W	SNM1		0.94	1.15	1.21	0.81
YBR216C			0.82	1.06	0.95	0.99
YHR067W			1.06	0.96	1.19	0.81
YNL090W	RHO2		1.25	0.7	0.7	
YDL127W	PCL2		0.81	1.24	1.22	0.72
YLR245C	CDD1		0.7	1.39	1.58	0.56
YOR131C			1.87	0.71	0.65	1.65
YOL114C			1.29	0.49		1.46
YMR202W	ERG2		0.61	2.37	2.04	0.65
YDR479C			0.96	1	1	0.92
YPL085W	SEC16		0.97		1.04	0.58
YML120C	NDI1		3.92	0.3	0.27	4.67
YER102W	RPS8B		0.62	4.17	3.58	0.63
YPR168W	NUT2		1.19	0.53	0.83	0.76
YIR025W			0.97	0.87	0.91	0.97
YIL008W			0.94	1.19	1.24	0.92
YFL057C			9.42	0.14	0.16	6.83
YDL062W			0.42	2.09	1.32	0.62
YEL020C			1.34	0.75	0.84	1.38
YPL086C	ELP3		0.6	1.66	1.26	0.87
YDR145W	TAF61		0.76	1.35	1.22	0.67
YHR068W	DYS1		1.23	0.63	0.6	1.28
YNL091W			0.95	1.11	1.07	0.88
YDL128W	VCX1		2.67	0.48	0.42	3.31
YIR026C	YVH1		0.34	2.41	1.98	0.41
YGR031W			1.22	0.83	0.82	0.97
YGL014W			0.5	2.44	2.17	0.47
YNL157W			2.19	0.6	0.63	2.02
YMR203W	TOM40		1.42	0.75	0.58	2.17
YMR031W-A			1.15	0.7	0.73	1.12
YDL063C			0.46	2.02	1.33	0.76
YDR146C	SWI5		2.76	0.34	0.32	2.62
YHR069C	RRP4		0.7	2.02	2.18	0.6
YBR151W	APD1		0.99	1.14	1.05	1.04
YBR217W	APG12		1	1.03	1.2	0.97
YGL015C			0.79	1.27	1.64	0.54
YLR180W	SAM1		0.6	1.73	1.57	0.65
YDR400W			0.48	1.89	1.85	0.55
YER103W	SSA4		0.9	1.48	0.91	0.97
YPR169W			0.75	1.38	1.33	0.84
YLR246W	ERF2		1.15	0.81	0.82	1.24
YMR204C			1.32	0.8	0.75	1.24
YIL009W	FAA3		0.26	3.76	3.61	0.28
YOR132W	VPS17		0.84	1.16	1.24	0.75
YOL115W	TRF4		1.18	0.78	0.95	1.01
YDR080W	VPS41		1.14	1.29	1.2	0.69
YLR181C			1.42	0.69	0.74	1.41
YBR218C	PYC2		0.65	1.46	1.4	0.76
YNL092W			0.96	0.84	0.97	0.95
YDL129W			0.7	1.13	1.16	0.71
YIR027C	DAL1		0.93	0.83	0.98	0.79
YLR247C			0.59	1.59	1.57	0.73
YOL050C			1.15	0.93	0.98	0.99
YGR032W	GSC2		1.11	0.77	0.86	1.85
YNL158W			0.85	1.16	1.04	0.9
YML121W	GTR1		1.48	0.74	0.79	1.22
YDR081C	PDC2		0.6	1.53	1.33	0.65
YJL170C	ASG7		2.16			1.27
YFL058W	THI5		1.7	0.61	0.59	1.6
YGR033C			0.93	1.12	1.01	1.04
YNL159C			0.88	0.88	0.99	0.91
YEL021W	URA3		0.72	1.58	1.43	0.81
YPL087W	YDC1		1.36	0.74	0.76	1.38
YML122C			1.08	0.86	1.01	0.85
YDR401W			0.78	0.98	0.97	0.81
YER104W	RTT105		1.04	0.81	0.76	1.19
YMR205C	PFK2		0.54	2.66	2.15	0.56
YOR133W	EFT1		0.49	3.75	2.6	0.68
YBL070C			0.95	0.76	0.96	0.95
YOL116W	MSN1		1.24	0.82	0.78	1.29
YDL064W	UBC9		0.76	1.34	1.5	0.83
YBR219C			0.84	1.65	1.77	0.64
YDR147W	EKI1		1.55	0.78	0.84	1.2
YNL093W	YPT53		1.68	0.53	0.62	1.48
YDR402C	DIT2		1.08			1.08
YER105C	NUP157		0.5	1.95	1.71	0.63
YGL016W	KAP122		0.68	1.7	1.59	0.62
YDL065C	PEX19		1.09	0.87	0.74	1.37
YDR148C	KGD2		2.72	0.45	0.42	2.76
YBR153W	RIB7		1.22	0.77	0.76	1.3
YJL171C			0.74	1.29	1.45	0.66
YFL059W	SNZ3		2.83	0.44	0.48	1.99
YLR182W	SWI6		0.75	1.27	1.15	0.92
YEL022W	GEA2		0.7	1.82	1.47	0.69
YPL088W			0.29	3.77	2.57	0.42
YML123C	PHO84		14.2	0.08	0.06	21.31
YIR028W	DAL4		1.2	0.65	0.67	1
YLR248W	RCK2		1.17	0.85	0.85	1.19
YOL051W	GAL11		0.67	1.63	1.43	0.66
YOR134W	BAG7		1.18	0.7	0.7	1.13
YBL071C			0.6	1.41	1.73	0.53
YOL117W			0.98	0.82	0.84	0.93
YBR154C	RPB5		0.93	1.32	1.3	1.16
YDR082W	STN1		0.75	1.14	1.04	0.81
YLR183C			0.57		1.7	0.55
YPL089C	RLM1		0.69	1.41	1.32	0.64
YEL023C			1.2	0.71	0.73	1.12
YNL094W			0.75	1.31	1.14	0.75
YOL052C	SPE2		1.12	1.02	0.89	1.18
YGR034W	RPL26B		0.59	1.87	2.35	0.53
YOR135C			2.05	0.57	0.46	2.11
YGL017W	ATE1		0.84	1.21	1.3	0.94
YOL118C			1.65	0.55	0.5	1.75
YMR140W			1.07	0.95	0.97	1.12
YMR206W			1.24	0.68	0.8	1.14
YDR149C			0.73	1.18	1.1	0.8
YNL095C			0.91	0.93	1.17	0.84
YGR035C			1.2	0.64	0.77	1.06
YER040W	GLN3		1.21	0.83	0.8	1.12
YGL018C	JAC1		1.09	0.84	0.88	1.16
YMR141C			2.11	0.44	0.54	1.84
YML124C	TUB3		1.05	1.02	0.91	1.15
YDR403W	DIT1		2.9	0.35	0.34	2.3
YER106W			1.17	0.68	0.64	1.23
YIR029W	DAL2		0.98	0.9	0.94	1.1
YLR249W	YEF3		0.42	3.44	2.88	0.51
YMR207C	HFA1		1.11	0.77	1	0.86
