NAME	GENE	CHR	ya1s4p2_106	ya1s4p2_0114FR	ya1s4p2_0108FR	ya1s4p2_0110
YLR212C	TUB4		1.47	0.72	0.81	1.49
YHL017W			0.64	1.56	1.52	0.64
YBR197C			1.49	0.72	0.79	1.33
YCLX02C			0.4	1.85		0.61
YNL123W			0.64	1.55	1.39	0.71
YER083C			1.4	0.75	0.72	1.45
YER149C	PEA2		0.97	1.01	1.05	0.93
YOL095C	HMI1		0.72	1.23	1.17	0.79
YOR178C	GAC1		1.74	0.63	0.79	1.44
YFR040W	SAP155		0.65	1.65	1.33	0.79
YFL023W			0.82	1.27	1.05	0.83
YJR029W			1.07	0.57	1.14	9.52
YPL052W			1.65	0.62	0.56	1.75
YPR135W	CTF4		1.47			
YPL118W	MRP51		1.65	0.75	0.67	1.86
YGR078C	PAC10		0.61	1.67	1.77	0.59
YDR380W			1.11	1.26	1.2	1.07
YFR041C			1.18	0.86	0.85	1.23
YEL066W	HPA3		2.8	0.4	0.42	2.65
YER056C-A	RPL34A		0.51	2.8	2.75	0.44
YBL101C	ECM21		0.93	1.08	1.01	0.94
YFL024C	EPL1		1	1.19	0.93	0.85
YDR446W	ECM11		1.05	1.09	1.16	0.69
YKL172W	EBP2		0.64	1.54	1.35	0.9
YPL053C	KTR6		1.15	0.9	0.71	1.46
YDR112W			0.45	1.14	1.04	0.62
YHR035W			1.25	2.42	0.92	0.57
YPR136C			0.82	0.97	1.04	0.87
YLR213C	CRR1		3.23	0.32	0.37	2.67
YHL018W			0.92	0.78	0.85	1.03
YCRX20C			0.53	1.2	1.09	0.65
YPL119C	DBP1		0.72	1.2	1.25	0.67
YCLX03C			1.4	0.51	0.73	1.24
YBR198C	TAF90		0.69	1.66	1.88	0.5
YJL201W	ECM25		0.73	1.43	1.38	0.72
YNL124W			0.52	1.74	1.76	0.52
YEL067C			1.58	0.56	0.69	1.75
YDR447C	RPS17B		0.53	2.38	2.36	0.51
YOL096C	COQ3		1.32	0.67	0.56	1.6
YOR179C			1.25	0.71	0.74	1.27
YDR113C	PDS1		0.99	0.78	0.8	1.03
YMR184W			1.5	0.95	0.99	1.33
YHL019C	APM2		0.87	1.2	1.4	0.67
YPR070W	MED1		0.91	0.96	0.86	1.01
YNL125C	ESBP6		1.24	0.93	0.91	1.1
YJL202C			1.72	0.57	0.61	1.35
YCR090C			1.11	0.94	0.97	1.07
YCL073C			0.77	1.54	1.29	0.91
YER084W			1.17	0.66	1.3	
YDR381W	YRA1		0.87	1.56	1.51	0.73
YFL025C	BST1		1.08	0.84	0.79	1.12
YGL250W			1.18	0.84	0.74	1.12
YDL030W	PRP9		0.98	1	1.03	0.98
YKL173W	SNU114		0.99	0.97	0.88	1.04
YHR036W			1.37	1.3	1.32	0.8
YHR001W-A	QCR10		2.02	0.63	0.55	1.86
YCRX21C			9.87	0.2	0.2	7.93
YOR100C	CRC1		0.44	1.91	1.9	0.41
YER085C			0.91			
YEL068C			0.84	1.23	1.15	0.89
YOL097C	WRS1		0.37	2.78	2.7	0.43
YKL174C			0.92	1.1	1.07	1.1
YGL251C	HFM1		1.26	0.75	0.71	1.09
YGR079W			0.59	1.64	1.44	0.6
YDR114C			0.9	0.92	0.84	0.81
YFR042W			1.46	0.51	0.48	1.49
YMR185W			1.05	0.92	0.75	1.32
YBL102W	SFT2		2.73	0.43	0.41	2.85
YPR071W			0.44	1.78	1.94	0.51
YPL054W	LEE1		1.96	0.56	0.53	1.54
YPR137W	RRP9		1.19			0.66
YLR214W	FRE1		3.19	0.36	0.58	1.87
YCLX04W			0.8	1.09	1.22	0.73
YBR199W	KTR4		1.06	0.97	0.95	0.98
YDR382W	RPP2B		0.63	2.54	2.74	0.67
YFR043C			1.33	0.7	0.85	1.25
YBL103C	RTG3		0.81	0.97	0.75	0.95
YDR448W	ADA2		0.98	0.93	1.2	0.82
YDL031W	DBP10		0.74	1.37	1.29	0.75
YPL055C			0.71	1.27	1.33	0.6
YHR037W	PUT2		1.35	0.91	1.11	0.86
YPR138C	MEP3		1.01	1.06	1.29	0.91
YLR215C			1.02	0.98	1.06	0.99
YCLX05C			0.92	1.08	1.39	0.82
YJL203W	PRP21		1.52	0.59	0.56	1.8
YNL126W	SPC98		0.78	1.21	1.07	0.88
YDR383C			1.01	0.96	0.81	0.95
YCR091W	KIN82		0.99	0.82	0.91	0.91
YEL069C	HXT13		1.14	0.83	0.99	1.22
YCL074W			1.07			0.75
YDR449C			0.56	1.58	1.38	0.58
YOL098C			0.35	2.99	3.5	0.39
YGL252C	RTG2		1.02	0.85	0.78	1.21
YMR186W	HSC82		1.32	0.97	0.81	1.66
YGR001C			0.65	1.67	1.54	0.58
YFL026W	STE2		39.04	0.03	0.03	35.07
YPR072W	NOT5		0.87	1.19	1.11	1.02
YJL204C			0.96	1.2	1.2	0.67
YIL015C-A			0.82	1.3	1.59	0.93
YCR092C	MSH3		0.94	0.82	0.85	0.95
YOR101W	RAS1		0.87	1.14	1.02	0.93
YER086W	ILV1		0.66	1.86	1.45	0.66
YMR187C			1.07	0.95	0.81	1.24
YFR044C			1.38	0.94	0.67	1.87
YBR121C	GRS1		0.44	2.37	1.78	0.69
YBL104C			1.02	0.81		1.07
YFL027C			1.37	0.56	0.51	1.59
YPR073C	LTP1		1.14	1.12	1.06	1.13
YOR370C	MRS6		1.16	0.68	0.98	0.9
YDL032W			0.66	1.19	1.31	0.72
YKL175W			1.35	0.8	0.73	1.75
YPL056C			1.14	0.9	0.86	1.26
YDR115W			1.34	1.26	1.14	1.41
