INAME	GENE	CHR	SIMR_UP2_191FR	SIMR_UP2_254
YBL035C	POL12	2	0.7	1.24
YLL064C		12	0.88	1.82
iOx478I		0	0.67	1.49
iIx038I		0	0.93	1.18
iEx115I		0	1.53	0.66
YGR266W		7	1.46	0.56
YLR147C	SMD3	12	1.29	0.73
YGL249W	ZIP2	7	1.79	0.63
iOx144I		0	1.42	0.68
iKx221I		0	1.42	0.71
YNL313C		14	1.39	0.79
iDx092I				0.56
YGL184C		7	1.82	0.48
iDx158I		0	0.34	3.07
YGR267C	FOL2	7	1.29	0.58
iNx187I		0	0.37	2.7
iJx264I		0	0.49	1.2
YCR010C		3	0.42	2.83
iPx370I		0	0.63	1.27
YLR081W	GAL2	12	0.72	1.07
YBR118W	TEF2	2	1.08	
iPx436I		0	1.99	0.45
iLx513I		0	1.05	0.41
YMR105C	PGM2	13	2.13	0.56
iPx102I		0	0.74	1.63
YBR053C		2	1.88	0.52
iEx050I		0	0.55	1.6
YBL036C		2	0.32	2.7
YLR082C	SRL2	12	0.96	1.33
iOx479I		0	1.43	0.54
iIx039I		0	1.07	0.74
iEx116I		0	1.58	0.64
iOx145I		15	0.95	0.71
iKx222I		0	0.25	3.28
YML022W				0.76
iDx093I		0	1.04	0.92
YGL185C		7	2.04	0.4
iDx159I		0	1.04	0.96
YGR268C		7	1.74	0.48
iNx188I		0	2.06	0.5
iJx265I		0	1.12	0.47
YCR011C	ADP1	3	0.66	1.9
iPx371I		0	1.06	0.84
YBR119W	MUD1	2	0.32	3.72
YLL065W	GIN11	12	0.52	2.3
YML023C		13	1.11	0.92
YDR302W		4	0.36	2.59
iPx437I		0	0.76	1.08
iLx514I		0	1.91	0.52
YLR148W	PEP3	12	0.98	1.46
YFR031C-A	RPL2A	6	0.83	0.96
YMR106C	YKU80	13	2	0.52
iPx103I		0	0.81	1.02
YNL314W	DAL82	14	0.78	1.25
iEx051I		0	1.38	0.66
YLR083C	EMP70	12	1.16	0.82
YHR160C	PEX18	8	0.86	1.16
iOx080I		15	0.69	0.64
YLL066C		12	1.46	0.87
YDL220C	CDC13	4	1.49	
iEx117I		0	1.17	0.99
YLR149C		12	0.61	2
YDR303C		4	0.94	1.51
iOx146I		0	1.3	0.6
iKx223I		0	0.41	2.11
iGx300I		0	0.52	1.48
YMR040W				0.65
YNL315C	ATP11	14	0.94	0.91
YIL100W		9	1.1	0.58
YGL186C		7	1.86	0.48
